condition_id,family,level,dose,node,metric,value,baseline_value,relative_change_percent
baseline,baseline,1.0,0.0,IKKa_noncanonical,final_cv,0.5533634273191441,0.5533634273191441,0.0
baseline,baseline,1.0,0.0,IKKa_noncanonical,auc_mean,152.427095275,152.427095275,0.0
baseline,baseline,1.0,0.0,IKKa_noncanonical,auc_cv,0.5533716766847852,0.5533716766847852,0.0
baseline,baseline,1.0,0.0,p100_RelB,final_mean,0.3793751871125,0.3793751871125,0.0
baseline,baseline,1.0,0.0,p100_RelB,final_cv,0.3517098654598227,0.3517098654598227,0.0
baseline,baseline,1.0,0.0,p100_RelB,auc_mean,186.72962554999998,186.72962554999998,0.0
baseline,baseline,1.0,0.0,p100_RelB,auc_cv,0.3526241530516158,0.3526241530516158,0.0
baseline,baseline,1.0,0.0,p52,final_mean,0.3062981677875,0.3062981677875,0.0
baseline,baseline,1.0,0.0,p52,final_cv,0.5726196517273229,0.5726196517273229,0.0
baseline,baseline,1.0,0.0,p52,auc_mean,150.11127485,150.11127485,0.0
baseline,baseline,1.0,0.0,p52,auc_cv,0.572690320866033,0.572690320866033,0.0
baseline,baseline,1.0,0.0,BAFF,final_mean,0.6632187320125,0.6632187320125,0.0
baseline,baseline,1.0,0.0,BAFF,final_cv,0.29052902409046305,0.29052902409046305,0.0
baseline,baseline,1.0,0.0,BAFF,auc_mean,322.95853719999997,322.95853719999997,0.0
baseline,baseline,1.0,0.0,BAFF,auc_cv,0.2969201859416993,0.2969201859416993,0.0
baseline,baseline,1.0,0.0,Phenotype_noncanonical,final_mean,0.7724286863250001,0.7724286863250001,0.0
baseline,baseline,1.0,0.0,Phenotype_noncanonical,final_cv,0.2250256583715686,0.2250256583715686,0.0
baseline,baseline,1.0,0.0,Phenotype_noncanonical,auc_mean,372.31345484999997,372.31345484999997,0.0
baseline,baseline,1.0,0.0,Phenotype_noncanonical,auc_cv,0.23614398690381916,0.23614398690381916,0.0
baseline,baseline,1.0,100.0,TNFR,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,100.0,TNFR,final_cv,0.0,0.0,
baseline,baseline,1.0,100.0,TNFR,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,100.0,TNFR,auc_cv,0.0,0.0,
baseline,baseline,1.0,100.0,IL1R,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,100.0,IL1R,final_cv,0.0,0.0,
baseline,baseline,1.0,100.0,IL1R,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,100.0,IL1R,auc_cv,0.0,0.0,
baseline,baseline,1.0,100.0,CD40,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,100.0,CD40,final_cv,0.0,0.0,
baseline,baseline,1.0,100.0,CD40,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,100.0,CD40,auc_cv,0.0,0.0,
baseline,baseline,1.0,100.0,LTB,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,100.0,LTB,final_cv,0.0,0.0,
baseline,baseline,1.0,100.0,LTB,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,100.0,LTB,auc_cv,0.0,0.0,
baseline,baseline,1.0,100.0,BAFFR,final_mean,1.0,1.0,0.0
baseline,baseline,1.0,100.0,BAFFR,final_cv,0.0,0.0,
baseline,baseline,1.0,100.0,BAFFR,auc_mean,500.0,500.0,0.0
baseline,baseline,1.0,100.0,BAFFR,auc_cv,0.0,0.0,
baseline,baseline,1.0,100.0,TRAF2_5,final_mean,0.45354472925000006,0.45354472925000006,0.0
baseline,baseline,1.0,100.0,TRAF2_5,final_cv,0.4465662807070007,0.4465662807070007,0.0
baseline,baseline,1.0,100.0,TRAF2_5,auc_mean,226.008547725,226.008547725,0.0
baseline,baseline,1.0,100.0,TRAF2_5,auc_cv,0.446127209797532,0.446127209797532,0.0
baseline,baseline,1.0,100.0,TRAF6,final_mean,0.6050789359125,0.6050789359125,0.0
baseline,baseline,1.0,100.0,TRAF6,final_cv,0.23155068880950605,0.23155068880950605,0.0
baseline,baseline,1.0,100.0,TRAF6,auc_mean,301.7256551625,301.7256551625,0.0
baseline,baseline,1.0,100.0,TRAF6,auc_cv,0.23107859664657457,0.23107859664657457,0.0
baseline,baseline,1.0,100.0,TRAF2_3,final_mean,0.6554709238374999,0.6554709238374999,0.0
baseline,baseline,1.0,100.0,TRAF2_3,final_cv,0.12986558404176507,0.12986558404176507,0.0
baseline,baseline,1.0,100.0,TRAF2_3,auc_mean,326.9804543875,326.9804543875,0.0
baseline,baseline,1.0,100.0,TRAF2_3,auc_cv,0.12971733959689466,0.12971733959689466,0.0
baseline,baseline,1.0,100.0,Btx,final_mean,0.42844145226249997,0.42844145226249997,0.0
baseline,baseline,1.0,100.0,Btx,final_cv,0.41174234038510404,0.41174234038510404,0.0
baseline,baseline,1.0,100.0,Btx,auc_mean,212.8153785,212.8153785,0.0
baseline,baseline,1.0,100.0,Btx,auc_cv,0.4115036525805379,0.4115036525805379,0.0
baseline,baseline,1.0,100.0,TAK1_TAB,final_mean,0.48357264210000006,0.48357264210000006,0.0
baseline,baseline,1.0,100.0,TAK1_TAB,final_cv,0.3085619675616627,0.3085619675616627,0.0
baseline,baseline,1.0,100.0,TAK1_TAB,auc_mean,240.4689862,240.4689862,0.0
baseline,baseline,1.0,100.0,TAK1_TAB,auc_cv,0.3081772312965922,0.3081772312965922,0.0
baseline,baseline,1.0,100.0,NEMO_IKKa_IKKb,final_mean,0.3990133946,0.3990133946,0.0
baseline,baseline,1.0,100.0,NEMO_IKKa_IKKb,final_cv,0.26797761876101767,0.26797761876101767,0.0
baseline,baseline,1.0,100.0,NEMO_IKKa_IKKb,auc_mean,198.00618056250002,198.00618056250002,0.0
baseline,baseline,1.0,100.0,NEMO_IKKa_IKKb,auc_cv,0.26798875718071297,0.26798875718071297,0.0
baseline,baseline,1.0,100.0,IkBa_release_signal,final_mean,0.23551007488749998,0.23551007488749998,0.0
baseline,baseline,1.0,100.0,IkBa_release_signal,final_cv,0.4137182543444197,0.4137182543444197,0.0
baseline,baseline,1.0,100.0,IkBa_release_signal,auc_mean,116.70437287375,116.70437287375,0.0
baseline,baseline,1.0,100.0,IkBa_release_signal,auc_cv,0.4148273850750491,0.4148273850750491,0.0
baseline,baseline,1.0,100.0,p50_p65,final_mean,0.1612292729125,0.1612292729125,0.0
baseline,baseline,1.0,100.0,p50_p65,final_cv,0.5025243047048943,0.5025243047048943,0.0
baseline,baseline,1.0,100.0,p50_p65,auc_mean,79.603306225,79.603306225,0.0
baseline,baseline,1.0,100.0,p50_p65,auc_cv,0.503076246940054,0.503076246940054,0.0
baseline,baseline,1.0,100.0,TNFa,final_mean,0.49557346278750003,0.49557346278750003,0.0
baseline,baseline,1.0,100.0,TNFa,final_cv,0.4604643961519166,0.4604643961519166,0.0
baseline,baseline,1.0,100.0,TNFa,auc_mean,241.0054182875,241.0054182875,0.0
baseline,baseline,1.0,100.0,TNFa,auc_cv,0.4651035056209641,0.4651035056209641,0.0
baseline,baseline,1.0,100.0,p100,final_mean,0.17996233625,0.17996233625,0.0
baseline,baseline,1.0,100.0,p100,final_cv,0.8282011089869484,0.8282011089869484,0.0
baseline,baseline,1.0,100.0,p100,auc_mean,88.419129645,88.419129645,0.0
baseline,baseline,1.0,100.0,p100,auc_cv,0.8270143044922765,0.8270143044922765,0.0
baseline,baseline,1.0,100.0,Phenotype_canonical,final_mean,0.6809200242375,0.6809200242375,0.0
baseline,baseline,1.0,100.0,Phenotype_canonical,final_cv,0.30785838076115096,0.30785838076115096,0.0
baseline,baseline,1.0,100.0,Phenotype_canonical,auc_mean,327.4420264625,327.4420264625,0.0
baseline,baseline,1.0,100.0,Phenotype_canonical,auc_cv,0.318699679593397,0.318699679593397,0.0
baseline,baseline,1.0,100.0,NIK,final_mean,0.405432408025,0.405432408025,0.0
baseline,baseline,1.0,100.0,NIK,final_cv,0.4611943646466652,0.4611943646466652,0.0
baseline,baseline,1.0,100.0,NIK,auc_mean,201.39707196249998,201.39707196249998,0.0
baseline,baseline,1.0,100.0,NIK,auc_cv,0.46139699952031393,0.46139699952031393,0.0
baseline,baseline,1.0,100.0,IKKa_noncanonical,final_mean,0.308058851475,0.308058851475,0.0
baseline,baseline,1.0,100.0,IKKa_noncanonical,final_cv,0.5533634273191441,0.5533634273191441,0.0
baseline,baseline,1.0,100.0,IKKa_noncanonical,auc_mean,152.427095275,152.427095275,0.0
baseline,baseline,1.0,100.0,IKKa_noncanonical,auc_cv,0.5533716766847852,0.5533716766847852,0.0
baseline,baseline,1.0,100.0,p100_RelB,final_mean,0.3464450408625,0.3464450408625,0.0
baseline,baseline,1.0,100.0,p100_RelB,final_cv,0.39036222097858625,0.39036222097858625,0.0
baseline,baseline,1.0,100.0,p100_RelB,auc_mean,170.6254149875,170.6254149875,0.0
baseline,baseline,1.0,100.0,p100_RelB,auc_cv,0.3912215719167215,0.3912215719167215,0.0
baseline,baseline,1.0,100.0,p52,final_mean,0.290046485075,0.290046485075,0.0
baseline,baseline,1.0,100.0,p52,final_cv,0.5979400051319554,0.5979400051319554,0.0
baseline,baseline,1.0,100.0,p52,auc_mean,142.162120975,142.162120975,0.0
baseline,baseline,1.0,100.0,p52,auc_cv,0.5979599161582119,0.5979599161582119,0.0
baseline,baseline,1.0,100.0,BAFF,final_mean,0.643102565675,0.643102565675,0.0
baseline,baseline,1.0,100.0,BAFF,final_cv,0.3064279010310604,0.3064279010310604,0.0
baseline,baseline,1.0,100.0,BAFF,auc_mean,313.0692518875,313.0692518875,0.0
baseline,baseline,1.0,100.0,BAFF,auc_cv,0.31315418524264804,0.31315418524264804,0.0
baseline,baseline,1.0,100.0,Phenotype_noncanonical,final_mean,0.7610278082124999,0.7610278082124999,0.0
baseline,baseline,1.0,100.0,Phenotype_noncanonical,final_cv,0.23502816126521392,0.23502816126521392,0.0
baseline,baseline,1.0,100.0,Phenotype_noncanonical,auc_mean,366.563082575,366.563082575,0.0
baseline,baseline,1.0,100.0,Phenotype_noncanonical,auc_cv,0.24648253078068932,0.24648253078068932,0.0
alpha_0p50,alpha,0.5,0.0,TNFR,final_mean,1.0,1.0,0.0
alpha_0p50,alpha,0.5,0.0,TNFR,final_cv,0.0,0.0,
alpha_0p50,alpha,0.5,0.0,TNFR,auc_mean,500.0,500.0,0.0
alpha_0p50,alpha,0.5,0.0,TNFR,auc_cv,0.0,0.0,
alpha_0p50,alpha,0.5,0.0,IL1R,final_mean,1.0,1.0,0.0
alpha_0p50,alpha,0.5,0.0,IL1R,final_cv,0.0,0.0,
alpha_0p50,alpha,0.5,0.0,IL1R,auc_mean,500.0,500.0,0.0
alpha_0p50,alpha,0.5,0.0,IL1R,auc_cv,0.0,0.0,
alpha_0p50,alpha,0.5,0.0,CD40,final_mean,1.0,1.0,0.0
alpha_0p50,alpha,0.5,0.0,CD40,final_cv,0.0,0.0,
alpha_0p50,alpha,0.5,0.0,CD40,auc_mean,500.0,500.0,0.0
alpha_0p50,alpha,0.5,0.0,CD40,auc_cv,0.0,0.0,
alpha_0p50,alpha,0.5,0.0,LTB,final_mean,1.0,1.0,0.0
alpha_0p50,alpha,0.5,0.0,LTB,final_cv,0.0,0.0,
alpha_0p50,alpha,0.5,0.0,LTB,auc_mean,500.0,500.0,0.0
alpha_0p50,alpha,0.5,0.0,LTB,auc_cv,0.0,0.0,
alpha_0p50,alpha,0.5,0.0,BAFFR,final_mean,1.0,1.0,0.0
alpha_0p50,alpha,0.5,0.0,BAFFR,final_cv,0.0,0.0,
alpha_0p50,alpha,0.5,0.0,BAFFR,auc_mean,500.0,500.0,0.0
alpha_0p50,alpha,0.5,0.0,BAFFR,auc_cv,0.0,0.0,
alpha_0p50,alpha,0.5,0.0,TRAF2_5,final_mean,0.315604520025,0.45354472925000006,-30.413804930134138
alpha_0p50,alpha,0.5,0.0,TRAF2_5,final_cv,0.5459194449805865,0.4465662807070007,22.248245907928954
alpha_0p50,alpha,0.5,0.0,TRAF2_5,auc_mean,157.01472075,226.008547725,-30.527087435183866
alpha_0p50,alpha,0.5,0.0,TRAF2_5,auc_cv,0.5445463876286727,0.446127209797532,22.06078797027573
alpha_0p50,alpha,0.5,0.0,TRAF6,final_mean,0.4490208792125,0.6050789359125,-25.791355050999066
alpha_0p50,alpha,0.5,0.0,TRAF6,final_cv,0.3398927296058145,0.23155068880950605,46.78977262099191
alpha_0p50,alpha,0.5,0.0,TRAF6,auc_mean,223.5351970625,301.7256551625,-25.914421515760424
alpha_0p50,alpha,0.5,0.0,TRAF6,auc_cv,0.3384290977880838,0.23107859664657457,46.45627189163586
alpha_0p50,alpha,0.5,0.0,TRAF2_3,final_mean,0.4935451277625,0.6554709238374999,-24.703734397094866
alpha_0p50,alpha,0.5,0.0,TRAF2_3,final_cv,0.19489903193386232,0.12986558404176507,50.07750773382911
alpha_0p50,alpha,0.5,0.0,TRAF2_3,auc_mean,245.92309907499998,326.9804543875,-24.789663793310435
alpha_0p50,alpha,0.5,0.0,TRAF2_3,auc_cv,0.19457904233087844,0.12971733959689466,50.00233811111596
alpha_0p50,alpha,0.5,0.0,Btx,final_mean,0.2495608068125,0.42844145226249997,-41.751479579152004
alpha_0p50,alpha,0.5,0.0,Btx,final_cv,0.5777276754845724,0.41174234038510404,40.31291388304192
alpha_0p50,alpha,0.5,0.0,Btx,auc_mean,123.466382225,212.8153785,-41.98427618566109
alpha_0p50,alpha,0.5,0.0,Btx,auc_cv,0.5753665636447935,0.4115036525805379,39.820524079597334
alpha_0p50,alpha,0.5,0.0,TAK1_TAB,final_mean,0.278810029825,0.48357264210000006,-42.34371311532059
alpha_0p50,alpha,0.5,0.0,TAK1_TAB,final_cv,0.4615826457567691,0.3085619675616627,49.591555111057836
alpha_0p50,alpha,0.5,0.0,TAK1_TAB,auc_mean,138.180739475,240.4689862,-42.53698089778864
alpha_0p50,alpha,0.5,0.0,TAK1_TAB,auc_cv,0.45935834824798466,0.3081772312965922,49.056549802634365
alpha_0p50,alpha,0.5,0.0,NEMO_IKKa_IKKb,final_mean,0.22923412957499997,0.4652436550375,-50.72815564641648
alpha_0p50,alpha,0.5,0.0,NEMO_IKKa_IKKb,final_cv,0.5241634025363016,0.32249126155697594,62.535691666701275
alpha_0p50,alpha,0.5,0.0,NEMO_IKKa_IKKb,auc_mean,113.00560435,230.74366955000002,-51.0254801050944
alpha_0p50,alpha,0.5,0.0,NEMO_IKKa_IKKb,auc_cv,0.5212735758379621,0.32194273715021626,61.914997819857454
alpha_0p50,alpha,0.5,0.0,IkBa_release_signal,final_mean,0.11986166796125,0.33021212587500004,-63.70161524394686
alpha_0p50,alpha,0.5,0.0,IkBa_release_signal,final_cv,0.6209728553639985,0.434761252973225,42.83077231867336
alpha_0p50,alpha,0.5,0.0,IkBa_release_signal,auc_mean,58.97584239125,163.377556675,-63.902115081468544
alpha_0p50,alpha,0.5,0.0,IkBa_release_signal,auc_cv,0.6226233787394491,0.4353969800324452,43.00130852838069
alpha_0p50,alpha,0.5,0.0,p50_p65,final_mean,0.07921362536875,0.2973161333125,-73.35710494879504
alpha_0p50,alpha,0.5,0.0,p50_p65,final_cv,0.5857709274408331,0.4313607869261006,35.796054067655824
alpha_0p50,alpha,0.5,0.0,p50_p65,auc_mean,38.61933181625,146.372372775,-73.61569599229311
alpha_0p50,alpha,0.5,0.0,p50_p65,auc_cv,0.5843722723590347,0.431985906518163,35.27577255219194
alpha_0p50,alpha,0.5,0.0,TNFa,final_mean,0.23118153597500002,0.6196866580375,-62.693801298363574
alpha_0p50,alpha,0.5,0.0,TNFa,final_cv,0.5949669029767936,0.3331276459151579,78.60027838347638
alpha_0p50,alpha,0.5,0.0,TNFa,auc_mean,109.7775613525,301.9203035875,-63.64021894251799
alpha_0p50,alpha,0.5,0.0,TNFa,auc_cv,0.5998160882164371,0.33825294170185494,77.32767827489606
alpha_0p50,alpha,0.5,0.0,p100,final_mean,0.05836575691125,0.25862056725000004,-77.43189664616669
alpha_0p50,alpha,0.5,0.0,p100,final_cv,1.0774232921505675,0.6613039798447459,62.92405988597163
alpha_0p50,alpha,0.5,0.0,p100,auc_mean,28.2513861175,126.96675095,-77.74898868710478
alpha_0p50,alpha,0.5,0.0,p100,auc_cv,1.0713522019882284,0.661837540040465,61.87540554479965
alpha_0p50,alpha,0.5,0.0,Phenotype_canonical,final_mean,0.402378913925,0.7884652180875,-48.96681493433411
alpha_0p50,alpha,0.5,0.0,Phenotype_canonical,final_cv,0.44159974428187126,0.212434078106337,107.87613184209648
alpha_0p50,alpha,0.5,0.0,Phenotype_canonical,auc_mean,185.80173320000003,381.70516738749996,-51.323233460086335
alpha_0p50,alpha,0.5,0.0,Phenotype_canonical,auc_cv,0.45805105221294723,0.22146898062916354,106.82402154544887
