sigma_multiplier,sigma,node,node_label,auc_reduction_percent,auc_ci95_low,auc_ci95_high,final_reduction_percent,final_ci95_low,final_ci95_high,final_mean_control,final_cv_control,auc_mean_control,auc_cv_control,final_mean_treated,final_cv_treated,auc_mean_treated,auc_cv_treated,violation_rate_control,max_lower_overshoot_control,max_upper_overshoot_control,violation_rate_treated,max_lower_overshoot_treated,max_upper_overshoot_treated
0.0,0.0,p50_p65,p50/p65,45.61461466816513,44.16713977312852,47.19255243382034,45.75400041363501,44.27839440193979,47.136243279877874,0.2970423316375,0.4307934153738027,146.3700824375,0.4320323826478077,0.161133582,0.5019738508579394,79.60393332625,0.5030984515533306,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,TNFa,TNF$\alpha$,20.174582767950778,18.4775880599661,21.959526229793713,20.02033196379166,18.285212094990698,21.928593302801225,0.6201865519375,0.3317661906210798,301.9272882375,0.3381850850977964,0.49602314545,0.4590512551490133,241.014717575,0.4650655842188148,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,p52,p52,5.293787201628108,4.56565956386445,6.113693742759317,5.315256094576826,4.611505202786608,6.066974920013526,0.3060762412,0.5723782689509881,150.1108668125,0.5727557261189071,0.289807505125,0.597775145204221,142.1643169375,0.5980202280777737,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,BAFF,BAFF,3.060877949824814,2.5500091106224647,3.612493707635784,3.034535065067989,2.5247906301459264,3.609932112549272,0.662845543625,0.2910187333777311,322.9631074,0.2968557553360356,0.6427312631625,0.3069165977070933,313.0776008375,0.3130674071404211,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.01,p50_p65,p50/p65,45.61589410062129,44.112888375866106,47.10173335752628,45.77177124063413,44.37586919503976,47.319235481454626,0.2973161333125,0.4313607869261006,146.372372775,0.431985906518163,0.1612292729125,0.5025243047048943,79.603306225,0.503076246940054,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.01,TNFa,TNF$\alpha$,20.175816121483003,18.496218663422436,21.929133414394254,20.028379444396204,18.29676142957612,21.802627033370445,0.6196866580375,0.3331276459151579,301.9203035875,0.3382529417018549,0.4955734627875,0.4604643961519166,241.0054182875,0.4651035056209641,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.01,p52,p52,5.295507527783472,4.5571914938540745,6.108579478426545,5.305837389129275,4.572599491710187,6.142456563412327,0.3062981677875,0.5726196517273229,150.11127485,0.572690320866033,0.290046485075,0.5979400051319554,142.162120975,0.5979599161582119,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.01,BAFF,BAFF,3.0620913082236467,2.5731838137756236,3.6027065168607453,3.033111908562003,2.5270812583863336,3.587522249570762,0.6632187320125,0.290529024090463,322.95853719999997,0.2969201859416993,0.643102565675,0.3064279010310604,313.0692518875,0.313154185242648,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.1,p50_p65,p50/p65,45.634252850593015,44.12398651149122,47.19707328895186,45.932891466793194,44.47844167146748,47.44470920545266,0.299473358425,0.4432316980387176,146.2623573625,0.4316904738847135,0.161916585725,0.5146996257124693,79.516623385,0.5029240447111517,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.1,TNFa,TNF$\alpha$,20.190127906293043,18.56845496164398,22.06369897409396,20.06377219000377,18.298469420764494,21.92910829406533,0.6150452191,0.351726802538004,301.6454676375,0.339120426584894,0.4916439474624999,0.4810238153514245,240.7428618875,0.4657879681401554,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.1,p52,p52,5.319340290340735,4.594661595421794,6.173053656121826,5.226581170622868,4.5068269284152835,6.014186924615161,0.30791959695,0.5792749479278142,149.939010325,0.5723885075771261,0.2918259292874999,0.6042444196212186,141.96324414999998,0.597680019258578,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.1,BAFF,BAFF,3.0766378004614237,2.5782712608220963,3.6114862377608614,3.0239482311058663,2.521868218980052,3.566656717823057,0.6663302704375,0.2906690629185994,322.723987675,0.2978615617998699,0.6461807880374999,0.3071517767674099,312.794939475,0.3142921174472624,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.3,p50_p65,p50/p65,45.71477384029785,44.224848639706394,47.226145775813585,46.24487887190705,44.54426341123086,47.930160534981226,0.3021640872875,0.5074779239347247,145.19572576250002,0.4318151721765741,0.162428671125,0.5837627013138433,78.8198281025,0.5028758709833817,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.3,TNFa,TNF$\alpha$,20.270704515140757,18.56736209024934,22.091088367924115,19.966435339431143,17.989531374097048,22.10209775056799,0.604549052025,0.4161283072554957,299.7943717375,0.3420615770104996,0.4838421564374999,0.5569350730129057,239.0239404875,0.4695680932298278,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.3,p52,p52,5.420627557791324,4.684738933842519,6.257607333845053,5.11057049596536,4.408348545240795,5.83209569037386,0.309169552475,0.6198760939109588,148.481308575,0.5734228988900023,0.2933692245625,0.6458799574648106,140.432689825,0.5985715744521256,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.3,BAFF,BAFF,3.141237028929589,2.648816364085698,3.699700831231899,3.035981873186122,2.4721651998153864,3.6393363007346906,0.6716015880624999,0.3150897511696075,321.0557039,0.3017738731190915,0.6512118855750001,0.3352560859909719,310.9705832375,0.3186286942714677,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.7000000000000001,p50_p65,p50/p65,46.051893869684946,44.56746738011128,47.58130943105875,46.32399495808098,43.9468548858168,48.70218988639673,0.29889179595,0.7148840174053596,140.33274175,0.4348302783561653,0.16043317545,0.8371823305261642,75.706856455,0.5040656081391273,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.7000000000000001,TNFa,TNF$\alpha$,20.774992338515275,18.95020758284606,22.784243938536367,19.788272806693453,16.827640519179695,23.036863868509258,0.5845894993125,0.5527061473333021,291.3655103625,0.3520098073001977,0.4689093343875,0.713730950881751,230.834347925,0.4845774047271093,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.7000000000000001,p52,p52,5.817108209287214,5.138191738833029,6.621697173595956,5.277301608490448,4.404592163562498,6.251927163240556,0.3035982737625,0.7682483603372169,142.0734261125,0.5820459392507557,0.287576477175,0.8011963677585402,133.8088611625,0.6065251237132075,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.7000000000000001,BAFF,BAFF,3.5017996416503827,2.974036675118872,4.139267712401952,3.0368052938420376,2.3120931565538503,3.895038990509338,0.673281079325,0.4077941591332757,313.5133741375,0.3129548053013626,0.6528348438624999,0.4361188589120286,302.5347639375,0.3325041108325713,0.0,0.0,0.0,0.0,0.0,0.0
