time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,1,0.1332061889,0.2468774375,0.2427289444,0.03990011626,0.01939570524,0.007668574186,0.0005988454992,2.624500626e-05,2.062065571e-06,1.632836467e-06,1.653773376e-06,0.04571310974,0.003183127421,0.0002400566113,2.144729953e-05,1.086885685e-05,4.622553415e-07
1,1,1,1,1,1,0.226819185,0.4279616806,0.3836422019,0.1127418513,0.05996201047,0.04234620554,0.006806314578,0.0006118037866,0.0001016333645,7.775536808e-05,8.155474302e-05,0.1292100181,0.01801593636,0.002793418416,0.0005208300946,0.0002667875066,2.339109663e-05
1.5,1,1,1,1,1,0.2944103332,0.5589808607,0.4667148199,0.1842902154,0.1056601831,0.09805790331,0.02386293241,0.003273731165,0.0008633344108,0.000646301255,0.0006970496169,0.2117578388,0.04360099762,0.0102971619,0.002962684192,0.001551936339,0.0002093298095
2,1,1,1,1,1,0.3404921899,0.6491135814,0.513225249,0.2446795514,0.1477853415,0.1626134809,0.05193105103,0.009655684471,0.003580572762,0.002586010493,0.002897524037,0.2861883758,0.07627364913,0.02430425731,0.00946390864,0.005074883783,0.0009300669737
2.5,1,1,1,1,1,0.3716777139,0.7146026718,0.5403526235,0.2916050994,0.184877771,0.2237532793,0.08775192465,0.02024643877,0.009997515756,0.006999310186,0.008147728915,0.346892198,0.1103840372,0.04400903231,0.02190474799,0.01190803598,0.002811755025
3,1,1,1,1,1,0.3948962992,0.7618458727,0.5606373365,0.3311021565,0.2135816207,0.2763221126,0.1253931519,0.03476097199,0.02160414165,0.01478911485,0.01765560152,0.3907969843,0.1422137203,0.06860947469,0.04056433188,0.02318173824,0.006599391865
3.5,1,1,1,1,1,0.4125782818,0.7960270837,0.56800612,0.3589670552,0.2373165373,0.3194465076,0.1637087609,0.0516638678,0.03954161296,0.02621705794,0.03238742383,0.4235387175,0.172258676,0.09591661068,0.06589498598,0.03935272978,0.01293545146
4,1,1,1,1,1,0.4218343736,0.8207897881,0.5751099145,0.3736404699,0.2561512603,0.3541860508,0.198056551,0.07067506451,0.06331142275,0.04081175934,0.05236482145,0.4488822215,0.1985688765,0.1261813525,0.09624969478,0.06022980259,0.02253049015
4.5,1,1,1,1,1,0.4326684051,0.8371991575,0.5761618758,0.3846662714,0.2697118008,0.3807225955,0.2290244854,0.08897188283,0.09195029483,0.05743920659,0.07745161719,0.465969026,0.2192658348,0.1558202847,0.1310518631,0.08625773903,0.03566286837
