time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,1,0.1348142398,0.1942017956,0.2379505826,0.02609069576,0.03526891464,0.00502442643,0.0002765140344,1.366053499e-05,5.626467457e-07,5.536285714e-07,5.740849829e-07,0.02415518613,0.00195687417,0.0001223123619,7.036096442e-06,6.08759461e-06,3.047472576e-07
1,1,1,1,1,1,0.2300762613,0.3229202571,0.3903536199,0.07744631503,0.1038692271,0.02832573012,0.003159748738,0.0003164397297,2.751067568e-05,2.648695602e-05,2.807897369e-05,0.07239580603,0.01154636767,0.001472377519,0.0001724673073,0.0001543331462,1.555395419e-05
1.5,1,1,1,1,1,0.2979949942,0.4086804494,0.4884088256,0.132336053,0.1762943641,0.06738879816,0.01124727674,0.001706017906,0.0002346007455,0.0002204314862,0.0002394825926,0.1246090539,0.02890289691,0.005588799467,0.0009915738452,0.0009203245566,0.0001394782232
2,1,1,1,1,1,0.3468058333,0.4663902094,0.5516244972,0.182586418,0.2415007811,0.1139172748,0.02486274548,0.005036659955,0.0009755887656,0.0008941537097,0.0009968066655,0.1729450031,0.05139011664,0.01326098628,0.003149893471,0.003033948213,0.0006135792598
2.5,1,1,1,1,1,0.3821695964,0.5054384848,0.5925483272,0.2253337454,0.296413175,0.1610639969,0.04272541647,0.01074349791,0.002746324597,0.002452991271,0.00280581756,0.2147901499,0.0761666436,0.02445696261,0.007216343901,0.007244459285,0.001827231302
3,1,1,1,1,1,0.4079329193,0.5321061727,0.6195754903,0.260454582,0.3408075071,0.2046177974,0.06276959515,0.01868697085,0.006020079439,0.005235948109,0.006147010598,0.2494103142,0.1012093845,0.03862960395,0.01349113925,0.01411401422,0.004240926649
3.5,1,1,1,1,1,0.4265904421,0.5505109466,0.6367395854,0.2888435398,0.3761772602,0.2428645222,0.08332352039,0.02829810567,0.01114381098,0.009425219402,0.01139608649,0.2779230621,0.1251713574,0.05508890935,0.02202714764,0.02397699177,0.008313338141
4,1,1,1,1,1,0.4402355744,0.5630509658,0.6481244362,0.3114854377,0.4040015089,0.2751958124,0.1030635412,0.03891433833,0.01831160634,0.01501455372,0.01871328902,0.3009734333,0.1470813595,0.07295071864,0.03254341438,0.03686532814,0.01439090054
4.5,1,1,1,1,1,0.4502497515,0.571526133,0.6557587792,0.3294631663,0.4258207174,0.3020169611,0.1211207146,0.04994488414,0.0274734893,0.02187864017,0.02811624844,0.3194435822,0.1668438332,0.09152505947,0.04475099329,0.0526489862,0.02269520355
