time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,1,0.1271503165,0.2002745125,0.2388765703,0.02570453785,0.03592814934,0.005067271117,0.0003420037084,1.703890567e-05,7.267348723e-07,7.431147738e-07,6.363725938e-07,0.02657926135,0.002016609061,0.0001318179049,7.06383897e-06,6.72582711e-06,2.855331044e-07
1,1,1,1,1,1,0.2166850294,0.3322904007,0.391238643,0.07618950645,0.1052682209,0.02840436702,0.003884330758,0.0003952198186,3.557017774e-05,3.559937835e-05,3.130401876e-05,0.07929076447,0.0118978733,0.001586759176,0.0001732175268,0.0001699269732,1.457228472e-05
1.5,1,1,1,1,1,0.2805092542,0.419667567,0.4888211171,0.1301880782,0.1779242475,0.06729301844,0.01370087298,0.002126379392,0.0003036645361,0.0002970882369,0.0002687271132,0.1361766616,0.02976326127,0.006004645015,0.0009971958344,0.001008338068,0.0001303630755
2,1,1,1,1,1,0.3259842254,0.4778092197,0.5518545079,0.179676767,0.2429062748,0.1131883469,0.03007551247,0.006269757968,0.001261645604,0.001203633679,0.00112346772,0.1884780315,0.05294213101,0.01423104256,0.003170500637,0.003313541247,0.0005727289723
2.5,1,1,1,1,1,0.3587048409,0.5167084978,0.5925522867,0.2219963815,0.2970388614,0.1592973871,0.0512631148,0.01330454073,0.003529985492,0.003287144001,0.003167044333,0.2332265501,0.07848326447,0.02629824974,0.007296224405,0.007884102639,0.001703352046
3,1,1,1,1,1,0.3825586891,0.543136288,0.6189734394,0.2566797941,0.3409652053,0.2019508084,0.07481946847,0.02301182794,0.007703914494,0.006975210779,0.006963367034,0.2703994259,0.1042185692,0.04160916476,0.01371983367,0.01536124483,0.003956753559
3.5,1,1,1,1,1,0.4002202809,0.5612994867,0.6363991639,0.2849180049,0.3754912855,0.2390371662,0.09884693074,0.03477800603,0.01414532457,0.01249743875,0.01293202407,0.3005431139,0.1287119032,0.05946290078,0.02246610694,0.02610777129,0.007754657887
4,1,1,1,1,1,0.4131908909,0.5737997715,0.6477651853,0.3074336163,0.4025301583,0.2705717549,0.1217043882,0.04782203898,0.02306192026,0.01976877759,0.02129077599,0.3245659035,0.1512856235,0.07916612614,0.03341812757,0.04018687052,0.01346397761
4.5,1,1,1,1,1,0.4229391572,0.5821188786,0.6551422313,0.3253587453,0.4236418924,0.2966795285,0.1426705018,0.06123192441,0.03431131151,0.02858052917,0.03193457521,0.3438924286,0.1715559974,0.09996595974,0.0461788575,0.05756900567,0.02127703028
5,1,1,1,1,1,0.430248653,0.5882810605,0.660018576,0.3397334465,0.4399385458,0.3178183434,0.1612764747,0.07442373693,0.04766380961,0.03849474598,0.04478677785,0.3594002628,0.1894471782,0.1211767711,0.06037699041,0.07784976675,0.03133896835
5.5,1,1,1,1,1,0.4358985211,0.5922436897,0.6633493413,0.3508387297,0.4525375712,0.3347879278,0.1773333875,0.08693863088,0.06267825319,0.04911890124,0.05942967243,0.3715509427,0.2049969059,0.1423254157,0.07556993938,0.1006018569,0.0435900842
6,1,1,1,1,1,0.4400705203,0.5952998065,0.6656693428,0.3597839976,0.4624427447,0.3484423409,0.1911066606,0.09850710034,0.07898484298,0.06001241028,0.07560469206,0.3809787798,0.2184708981,0.1629082275,0.09136152171,0.1253366787,0.05793825752
6.5,1,1,1,1,1,0.4435912516,0.5974933289,0.6672233624,0.3671417288,0.4699480377,0.3590636359,0.2027387734,0.1089013012,0.0962725066,0.07076419806,0.09279441488,0.3885302363,0.2300684829,0.1824908899,0.1072749605,0.1514852611,0.07412181887
