time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0.05636619643,0.03840723575,0.03168759609,0.01409198915,0.01609006902,0.00300801392,0.000283415161,1.918029668e-05,9.461806669e-07,1.016239659e-06,9.851311288e-07,0.01469285314,0.00191631339,0.0001821315947,1.058109375e-05,1.155707435e-05,5.921939232e-07
1,0,0,0,0,0,0.09266776264,0.05933790461,0.04835658772,0.03961731464,0.04252648757,0.01569288454,0.003088870878,0.0004356162551,4.600471254e-05,4.778111771e-05,4.78318107e-05,0.04139789214,0.01058792027,0.002059326346,0.0002499245441,0.0002771724805,2.921562254e-05
1.5,0,0,0,0,0,0.1166041102,0.07210392248,0.05821047353,0.06463189445,0.06600598181,0.0345255637,0.01040860831,0.002271321297,0.0003875444161,0.0003886499562,0.0004023758893,0.06788827479,0.02481075594,0.007286437884,0.001377232577,0.00154778907,0.0002525488579
2,0,0,0,0,0,0.1327946112,0.08043696442,0.06471345131,0.08593027715,0.08364314571,0.05421864701,0.02189864273,0.006539309184,0.00159024883,0.001531552877,0.001650050003,0.09047686629,0.04147380486,0.01601778055,0.004162317746,0.004765453084,0.001062735948
2.5,0,0,0,0,0,0.1439475008,0.0865786109,0.06921730485,0.1028249821,0.09645838426,0.07167582076,0.03586188467,0.01355097801,0.004384521404,0.004063986536,0.004560701,0.1086949774,0.0582120156,0.02733679167,0.009066652745,0.01058197831,0.003008794683
3,0,0,0,0,0,0.1518351888,0.09123076981,0.07267998854,0.115968918,0.1049526659,0.08556286237,0.0503962911,0.02290526616,0.009415126647,0.0084521252,0.009807447773,0.1229247479,0.07338783447,0.0399753298,0.01603887905,0.01906639036,0.006634333867
3.5,0,0,0,0,0,0.1576893333,0.09483239395,0.07556101353,0.1263357889,0.1109422505,0.09639639829,0.06448106632,0.03387279237,0.01700971728,0.01480344878,0.01776904641,0.1341286996,0.0867070918,0.05282142068,0.02474473216,0.03000840493,0.01227144338
4,0,0,0,0,0,0.1620628187,0.0979435977,0.07764289013,0.1342946649,0.1149126115,0.1043649277,0.07731766854,0.04557637667,0.02710810583,0.0229221965,0.02853421242,0.1428575311,0.09814049027,0.06485369109,0.03457674793,0.04290955473,0.02003456194
4.5,0,0,0,0,0,0.1651474392,0.1002066435,0.07904590261,0.1407426048,0.1177100858,0.1105599096,0.08861128523,0.0570728602,0.039495887,0.03251453702,0.04162610244,0.1495780244,0.1076101304,0.07569730806,0.04496023214,0.05697103386,0.02990258139
5,0,0,0,0,0,0.1675272739,0.1022671217,0.08014973689,0.145771762,0.1196889355,0.1149669356,0.09826835114,0.06803324388,0.05346564892,0.04308259841,0.05655153598,0.1547912889,0.1154009933,0.08513195372,0.05538933327,0.07166569053,0.04147667548
5.5,0,0,0,0,0,0.1693380243,0.1037621985,0.08079058649,0.1500088327,0.1211849107,0.118461208,0.1066122382,0.07798829213,0.06858427893,0.05399759188,0.07281558884,0.1589363238,0.1218785592,0.09289498493,0.06545648112,0.08641873717,0.05424431428
6,0,0,0,0,0,0.1705450374,0.1050968417,0.08121605163,0.1530698198,0.1220105523,0.1211206027,0.1136693883,0.0868260158,0.08398264933,0.06503557812,0.08981327002,0.1622626451,0.1268930981,0.09942186421,0.07504719562,0.1009004592,0.06798925641
6.5,0,0,0,0,0,0.1714406409,0.1060058803,0.08168171751,0.1557723291,0.122638205,0.1229580067,0.1199097623,0.09441052437,0.09947837369,0.07561337264,0.1069005084,0.1647847494,0.131111819,0.1043868371,0.08370177578,0.1145995891,0.08209877791
7,0,0,0,0,0,0.1723984142,0.106816404,0.08185999087,0.1580619694,0.1231943301,0.124462172,0.1251489929,0.1010032765,0.1145753672,0.08573418656,0.1235574635,0.1668910743,0.134713307,0.1083667466,0.09157194027,0.1274066696,0.09638263097
7.5,0,0,0,0,0,0.1730675484,0.1072087265,0.08218263319,0.1598403331,0.1234349945,0.1256381193,0.1297780001,0.1063191963,0.1289493401,0.09504395634,0.1395553548,0.1686339609,0.1376077299,0.1118211059,0.09851341225,0.1392400841,0.1105061269
8,0,0,0,0,0,0.1736019058,0.1074475609,0.08224073226,0.1613872908,0.1237618607,0.126355467,0.1335952526,0.1104790071,0.1426492099,0.1036062661,0.1545174195,0.1697733437,0.1398428086,0.1144083204,0.1047219192,0.1502186285,0.124095619
8.5,0,0,0,0,0,0.174202756,0.107656434,0.08262510762,0.1628364138,0.1237931059,0.1271609461,0.1373344655,0.1137559212,0.1554535896,0.1115836657,0.1681987906,0.1710604641,0.1418363789,0.11614457,0.1103351699,0.1601390851,0.1372563806
9,0,0,0,0,0,0.1744756221,0.10798055,0.08281390019,0.1641245695,0.1240694514,0.1278631734,0.1403659697,0.1165221718,0.1667260365,0.1183354289,0.180669937,0.172072276,0.1436848383,0.1178324908,0.1152111019,0.1689475512,0.1493637722
9.5,0,0,0,0,0,0.1746833147,0.1081108387,0.08276193162,0.1649437309,0.1239969001,0.1283088532,0.1429724928,0.1186861014,0.1771453798,0.1245245475,0.1918699062,0.1727993573,0.1450530031,0.1191217418,0.1192707235,0.1768470828,0.1609007327
10,0,0,0,0,0,0.1749829228,0.1083735716,0.0828632539,0.1658284222,0.1239396788,0.1288153901,0.1454906631,0.1203110782,0.1863741029,0.1300834936,0.2018858609,0.1735567049,0.1463709481,0.119991966,0.1229332357,0.1836568877,0.1715017326
10.5,0,0,0,0,0,0.1751065699,0.1086703858,0.08307156162,0.16670696,0.1236844665,0.1291255642,0.1476924444,0.1215739509,0.1946564845,0.1348187062,0.2108951633,0.1741311259,0.1473824624,0.1206911343,0.1261557148,0.1897403514,0.1811523905
11,0,0,0,0,0,0.175079872,0.1086337439,0.08293063334,0.1672875291,0.1235868511,0.129461205,0.1495962719,0.1226666331,0.2018817528,0.1391983557,0.2185703443,0.174620741,0.1482439387,0.121225357,0.1288854456,0.1950437506,0.189717126
