time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,1,0.1596803806,0.1874325846,0.2216530223,0.04120542076,0.04250037151,0.002424931214,0.0002668785113,1.167495209e-05,1.754807981e-07,7.768406537e-07,7.63067401e-07,0.03707109287,0.001937961257,0.0001788901873,2.575405591e-06,1.970266109e-06,6.145820258e-08
1,1,1,1,1,1,0.2596404366,0.3260724658,0.3542906464,0.1231192748,0.1262069156,0.014197273,0.003179550178,0.0002845735046,8.971363976e-06,3.853141749e-05,3.874635665e-05,0.1094354222,0.01135166286,0.002209137702,6.488475908e-05,5.092901769e-05,3.232376799e-06
1.5,1,1,1,1,1,0.3222390059,0.4255313758,0.4341511533,0.2109306093,0.2173637846,0.03502038202,0.01178091858,0.001600132367,7.915680768e-05,0.0003335927934,0.0003442653904,0.1872752865,0.02853765993,0.008639948533,0.0003922818471,0.0003117285123,3.017392462e-05
2,1,1,1,1,1,0.363745161,0.4985050808,0.4829752009,0.2966439432,0.2988911977,0.06104834221,0.02688754214,0.004920012721,0.000342871105,0.001390541288,0.001497785588,0.2587406725,0.05064923536,0.02116407994,0.001308054921,0.001058556908,0.0001389930101
2.5,1,1,1,1,1,0.3917826829,0.5511320083,0.5109905611,0.3649944468,0.3701219402,0.08843001205,0.04809918703,0.01102628279,0.001005742704,0.003951365457,0.004332337671,0.3169541274,0.07491431888,0.04052937951,0.003178705004,0.002627939143,0.0004319358086
3,1,1,1,1,1,0.410698257,0.5879696648,0.5279924404,0.4230872126,0.4314278395,0.1159331972,0.07257166126,0.0199768901,0.002300581692,0.008690856334,0.009982070401,0.3637849012,0.09884958963,0.06598193052,0.006316257596,0.005350000614,0.001062489254
3.5,1,1,1,1,1,0.4211948704,0.6182750116,0.5397298082,0.4709800114,0.4777686663,0.1404101671,0.099150832,0.03157539337,0.004430607289,0.01601997957,0.01919454046,0.4019732337,0.1212908649,0.09689196529,0.01090508696,0.009477752127,0.002239316629
4,1,1,1,1,1,0.4274069059,0.6371320279,0.5477057608,0.5105302298,0.5117547016,0.1625738249,0.1250390218,0.04478116575,0.007587690895,0.0259378116,0.03259101608,0.4289667721,0.141690814,0.1311897459,0.01706416198,0.01520054916,0.004149486353
4.5,1,1,1,1,1,0.4351042657,0.6496417333,0.5506790056,0.5405325195,0.5398378643,0.1802351509,0.1497952349,0.05945568249,0.01171492964,0.03872519786,0.05052329264,0.4488267037,0.1595819799,0.1678977709,0.02465026958,0.02230936025,0.006908997821
