time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,1,0.1534277389,0.2041700928,0.2286815693,0.04047023888,0.02193239894,0.006037404461,0.0006508224669,4.569738922e-05,1.872607449e-06,2.541175442e-06,1.338864859e-06,0.04133650212,0.003420071099,0.0002168115755,6.766461471e-06,1.301685606e-05,9.673624183e-08
1,1,1,1,1,1,0.2707900721,0.3438732534,0.3623932829,0.1132943955,0.07118408168,0.0328740304,0.007243467668,0.001051776692,9.128011058e-05,0.0001197740335,6.559349336e-05,0.1185386022,0.01955668289,0.002581522611,0.0001678579339,0.0003235630756,5.003535996e-06
1.5,1,1,1,1,1,0.3603400186,0.4369224653,0.4437579272,0.1843440022,0.1315242452,0.07581232613,0.02488123086,0.005586113176,0.0007670394551,0.0009749730879,0.0005541141039,0.197004331,0.04763816577,0.009797401345,0.0009825631162,0.00193470676,4.574348661e-05
2,1,1,1,1,1,0.4283065327,0.5063000077,0.4915111404,0.243888963,0.1926077622,0.1248756796,0.05327874231,0.01621291633,0.003143642002,0.003865242601,0.002280780963,0.2658171575,0.0822865616,0.02350903037,0.003225842639,0.006411609058,0.0002071668561
2.5,1,1,1,1,1,0.4804429872,0.5526106118,0.5173689635,0.288377616,0.2520509755,0.1706179093,0.08807919817,0.03395702538,0.008772621486,0.01033203246,0.006465532585,0.3174779886,0.120480399,0.04394854298,0.007797357513,0.01541209559,0.0006446451989
3,1,1,1,1,1,0.5198578249,0.5830068212,0.5340026166,0.3231495608,0.3056160613,0.2142469547,0.1258167201,0.05731292357,0.01889248586,0.02117329721,0.01374191857,0.35788834,0.1556453104,0.07071773324,0.0149860794,0.03021523449,0.001555139656
3.5,1,1,1,1,1,0.5476636714,0.6038827597,0.5440442051,0.3464141594,0.3527834884,0.2501146584,0.1610702053,0.08396240429,0.03401143868,0.03607722709,0.0252573275,0.3880011967,0.1881784941,0.1037855209,0.02571550522,0.05143187224,0.00317934021
4,1,1,1,1,1,0.5721154661,0.617900382,0.5489178662,0.3637986418,0.3919812167,0.278990594,0.1954267537,0.1133431461,0.05409959805,0.05476408338,0.04125992529,0.4100596714,0.215233808,0.1396002096,0.03969718032,0.0805133927,0.005787624632
4.5,1,1,1,1,1,0.5903380865,0.6281357362,0.5528419536,0.3759435663,0.4301130957,0.2997206696,0.2246238524,0.1410017907,0.07948574011,0.07619479409,0.05954626601,0.4269117789,0.2385057715,0.1767985985,0.05657088332,0.1156676394,0.00971037766
5,1,1,1,1,1,0.6053603216,0.6367549086,0.5558466038,0.3847513727,0.4564097903,0.3172528247,0.2481292323,0.1678011181,0.1076529124,0.09913829874,0.08170149156,0.441867916,0.2601376322,0.2140612835,0.0772539583,0.1569261821,0.01493949695
5.5,1,1,1,1,1,0.6146234601,0.6393379027,0.5553532709,0.3926432354,0.484174652,0.3288988378,0.2653130015,0.1918991147,0.1381989981,0.1199655485,0.1059438496,0.4517339034,0.2787834203,0.2510093288,0.1002584425,0.2013427968,0.02179414918
6,1,1,1,1,1,0.6190561364,0.6444998855,0.5559330884,0.3969727844,0.5048189751,0.338414613,0.280208752,0.2130880062,0.1706620667,0.1402197444,0.133220767,0.460494073,0.2921108449,0.2845239995,0.1240091638,0.2458079342,0.03036929062
6.5,1,1,1,1,1,0.6273414111,0.647044085,0.5563707033,0.3985610322,0.5238770696,0.3469107762,0.2932555101,0.2299389505,0.2031804157,0.159447018,0.1621634746,0.4654559462,0.304189633,0.3151725085,0.147344814,0.2934851235,0.0404796489
7,1,1,1,1,1,0.6329448063,0.6472713454,0.5597126176,0.4016129328,0.5359787086,0.3529598014,0.3023265377,0.2462366581,0.2370601592,0.1765949615,0.1903145778,0.466932223,0.3125348974,0.3426171412,0.1712285667,0.3420361487,0.05230152893
7.5,1,1,1,1,1,0.6368621782,0.6460115339,0.5573228007,0.4016165202,0.5476710797,0.355777627,0.3107264652,0.2573511783,0.2687352399,0.193472987,0.2185532866,0.4700825163,0.3199095584,0.367429982,0.195919423,0.3871023743,0.06549007398
8,1,1,1,1,1,0.6385381793,0.6446854562,0.5565780982,0.4024513883,0.5571070399,0.3605649392,0.3157534284,0.2698998299,0.301021331,0.2059994923,0.249330386,0.4713596582,0.3254909471,0.3860787548,0.2201042011,0.4274849142,0.08078029793
8.5,1,1,1,1,1,0.6406740474,0.6453896464,0.5592185616,0.4054752222,0.566128684,0.3628037105,0.3177688751,0.2753363626,0.3308824845,0.2165283397,0.2783521226,0.4709165298,0.3286652551,0.4033597183,0.240621998,0.4700609339,0.0968822182
9,1,1,1,1,1,0.6438837203,0.6478722007,0.559129937,0.4041056244,0.5737003164,0.3632205735,0.3233572294,0.2822375372,0.358810764,0.2259200707,0.3036830229,0.4742311268,0.3312082314,0.4207837534,0.2604127285,0.5056998771,0.1150022948
9.5,1,1,1,1,1,0.6437609231,0.6498149056,0.5602439935,0.4048225893,0.5778867063,0.365044288,0.3257048792,0.2882643716,0.3880224875,0.2331004552,0.3320803267,0.4757847548,0.3366721142,0.4323607805,0.2790857857,0.5393135761,0.1320544075
10,1,1,1,1,1,0.6435302756,0.6492962673,0.5574719418,0.4056396402,0.5833362693,0.3662319956,0.3272085557,0.293374319,0.4154362084,0.2403505401,0.3577342768,0.4760340902,0.339645854,0.4450944302,0.2933071,0.5720128779,0.1503230561
10.5,1,1,1,1,1,0.6453441367,0.6495799155,0.5576245144,0.405352454,0.5897277615,0.3683758669,0.3298736659,0.2957615202,0.4420406486,0.2470687565,0.3817237209,0.4774972073,0.3414924141,0.45222304,0.310167381,0.5983650706,0.1695630798
11,1,1,1,1,1,0.6436375227,0.6498025831,0.5581244784,0.403026555,0.590395071,0.3695939012,0.3312480071,0.2996310299,0.4652632534,0.2512972144,0.4052068025,0.4804495725,0.342026193,0.457383641,0.3218269434,0.6239249557,0.1894046478
