time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,1,0.134199844,0.1985652088,0.2361078659,0.02499715889,0.03512447581,0.005030796691,0.0003412961337,1.745398146e-05,7.457794309e-07,7.066281688e-07,6.770582742e-07,0.02488043467,0.002270955714,0.0001557452866,6.9994569e-06,8.658526277e-06,2.694663438e-07
1,1,1,1,1,1,0.2290273791,0.3298236841,0.3881815124,0.07448324702,0.1033640989,0.02856987514,0.003946410733,0.0004153755601,3.725410631e-05,3.472323582e-05,3.390154019e-05,0.07373960702,0.01327641076,0.00186394278,0.0001718712895,0.0002175718143,1.381656708e-05
1.5,1,1,1,1,1,0.2970358966,0.4172097407,0.4862774005,0.1277473304,0.1752559893,0.06844137434,0.01420015495,0.002292664113,0.0003236588977,0.0002966670655,0.0002952741783,0.1257990169,0.03299716084,0.007014127117,0.0009893272432,0.001282144693,0.0001242657152
2,1,1,1,1,1,0.3458540403,0.4757679044,0.5497501316,0.1766624445,0.2397843665,0.1164658013,0.03180600479,0.006933785473,0.00136861388,0.001231489341,0.001255255593,0.1729669873,0.05810552832,0.01651635336,0.003145614386,0.004172421163,0.0005489055687
2.5,1,1,1,1,1,0.3811847362,0.5151400083,0.5911260003,0.218475662,0.2938089141,0.1655308488,0.05523557307,0.01511566628,0.003888599738,0.00344644177,0.003597242282,0.2125783828,0.08548369243,0.03018650071,0.007242487176,0.009812004858,0.001638235781
3,1,1,1,1,1,0.4066912049,0.5417715732,0.6183919689,0.2533359579,0.3374117006,0.2116765588,0.08217993852,0.02685749999,0.008604058319,0.007505482121,0.008024802081,0.2451187027,0.1127336591,0.04732173841,0.01359970206,0.01881888939,0.003828527954
3.5,1,1,1,1,1,0.4256443111,0.5599404252,0.6361161262,0.2815614966,0.3724029107,0.2526463074,0.1104604544,0.0416621852,0.01605735812,0.01373358114,0.01510935928,0.270982811,0.1384003352,0.06699028581,0.0222708668,0.03144055746,0.007545512701
4,1,1,1,1,1,0.4396536151,0.572350002,0.6480570815,0.304120716,0.3996967985,0.2879163213,0.1384854938,0.05863846339,0.02647868266,0.02223342239,0.02518208704,0.2912957831,0.161849117,0.08831337058,0.03305166595,0.04756582246,0.01314148726
4.5,1,1,1,1,1,0.4502596717,0.580909561,0.6559837383,0.3223254369,0.4210357404,0.3172120294,0.1651871898,0.07687045713,0.0397631839,0.03278584623,0.03825453952,0.3074077738,0.1824510372,0.1104911444,0.04558662154,0.06696535037,0.02087219731
