time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,1,0.1445112176,0.1901435936,0.232392788,0.02001234022,0.04389196547,0.008306821271,0.0006587135957,5.955015806e-05,2.426272477e-06,2.413830019e-06,2.004609278e-06,0.01928320349,0.001701697196,7.71158397e-05,7.48942393e-06,1.805566491e-06,4.99594098e-07
1,1,1,1,1,1,0.2418495844,0.315650712,0.3822883529,0.06046480588,0.1251795582,0.04586542003,0.00734584436,0.001369910504,0.000118048715,0.0001172547617,9.766420882e-05,0.05988920432,0.01059004205,0.0009790876313,0.0001914073286,4.802753092e-05,2.653299321e-05
1.5,1,1,1,1,1,0.3063613547,0.4009078674,0.4802360822,0.1039833954,0.2076232389,0.1059677147,0.02522619101,0.007268201203,0.0009934656233,0.0009821411214,0.0008297285154,0.1056106085,0.0279020483,0.003907826556,0.001139955527,0.0002962202018,0.0002480222336
2,1,1,1,1,1,0.3509623242,0.4555632768,0.5422685895,0.1423321543,0.2776578413,0.1717311997,0.05341386456,0.02072386506,0.004096743566,0.003996586866,0.003402444279,0.1498734355,0.05214521936,0.009868270167,0.003793510854,0.001026479251,0.001129602557
2.5,1,1,1,1,1,0.3792571494,0.4906702966,0.5846126986,0.174615119,0.3312834968,0.23402647,0.08716078774,0.04254345974,0.01105853456,0.01087821688,0.009280967173,0.1874855756,0.08064648016,0.01908721666,0.009207029279,0.002592713147,0.003518643684
3,1,1,1,1,1,0.39994921,0.515339599,0.6121510542,0.2016037348,0.3705020007,0.2903588702,0.1224311073,0.07071035758,0.02315359764,0.02278906451,0.01977124064,0.2213091124,0.1106680883,0.03099122698,0.01795675017,0.005299600245,0.008548934242
3.5,1,1,1,1,1,0.4129665422,0.5318334172,0.6304557088,0.2225316071,0.4003224266,0.3332752281,0.1560459363,0.1035198376,0.04152994188,0.04027433847,0.0351331668,0.2466299761,0.1412935451,0.04592541597,0.03035821384,0.009384230723,0.01746737498
4,1,1,1,1,1,0.4204381449,0.5422899624,0.6426680214,0.2372632584,0.4207870991,0.3680088149,0.1847063359,0.1359298977,0.06568111967,0.06338160883,0.05592850023,0.268739245,0.1695073295,0.06252766555,0.04548541446,0.01520749604,0.03130751646
4.5,1,1,1,1,1,0.4268892745,0.5506755311,0.6478779629,0.2492826721,0.4348472235,0.392885252,0.2098518466,0.1680490214,0.09418654563,0.09141588166,0.08142147758,0.2852812687,0.1930036828,0.08039003247,0.06406890854,0.02275136544,0.05084475106
5,1,1,1,1,1,0.4323554023,0.5540916659,0.653641061,0.2586102295,0.4464501797,0.4125247153,0.2308893351,0.1973348001,0.126855554,0.1223698947,0.1098032473,0.2956524146,0.2155526638,0.09839959048,0.08406477629,0.03149576706,0.07609260554
5.5,1,1,1,1,1,0.434552248,0.5556942915,0.6574853983,0.2666054284,0.4539907423,0.4269491227,0.2474031229,0.2238208647,0.1618322928,0.1546799433,0.1412673208,0.3056250827,0.2351860352,0.1169715053,0.1054314408,0.04240686779,0.1068017257
6,1,1,1,1,1,0.4362760792,0.5596884801,0.6603029512,0.2698984576,0.4611792326,0.4386556308,0.2592999359,0.2442722153,0.1983853769,0.1891061927,0.1750651481,0.3158251932,0.2528826124,0.1356654263,0.1270722697,0.05447092012,0.1415462608
6.5,1,1,1,1,1,0.4352504375,0.5598935264,0.6613978135,0.2716210001,0.4641062092,0.4435816878,0.2692799911,0.2632383743,0.2339223715,0.2230720101,0.2099794331,0.3226094005,0.2659212243,0.1525026736,0.1483591817,0.06850824279,0.179609251
7,1,1,1,1,1,0.4350077613,0.5618240085,0.6598630333,0.2770901868,0.4657544839,0.4510638836,0.2770298032,0.2757837557,0.2713303274,0.2554696828,0.2451563203,0.3259018756,0.2792649597,0.1680226921,0.169664425,0.08374470639,0.2222201604
7.5,1,1,1,1,1,0.4373725514,0.5631458183,0.6599269874,0.277771473,0.4668404062,0.4528626127,0.2820032384,0.28748454,0.3055927779,0.2888953359,0.2797135009,0.3288460293,0.2885002542,0.1805489195,0.1894672037,0.09935238059,0.266643854
8,1,1,1,1,1,0.438224495,0.562771239,0.6609688934,0.2810735338,0.4688314712,0.456771297,0.2885882229,0.2979212943,0.3371672424,0.315864547,0.3129301547,0.3324135823,0.2981793558,0.1930536733,0.2050052608,0.1151963517,0.3114924537
8.5,1,1,1,1,1,0.4380927995,0.5601743199,0.6611273755,0.2808911444,0.472513304,0.4594063381,0.2890449062,0.3062395469,0.3698502999,0.3448589109,0.3469331412,0.3356201805,0.3058784944,0.2039842301,0.2203512918,0.1315954478,0.3558381202
9,1,1,1,1,1,0.437432945,0.5615228827,0.6620689629,0.2815589007,0.4715565687,0.4614929768,0.2918633643,0.3113437812,0.399973217,0.3706255475,0.3764304689,0.3366819905,0.3121918066,0.2154458148,0.2336811773,0.1489217176,0.3980255681
9.5,1,1,1,1,1,0.4379227505,0.5620293451,0.6609985497,0.2831102416,0.4717503154,0.4654365719,0.294527849,0.3156975067,0.4296445131,0.397842652,0.4050358772,0.3384161897,0.3199213501,0.2260178979,0.2449996088,0.1645798305,0.4399561157
10,1,1,1,1,1,0.4379959237,0.5634930779,0.6617404329,0.2815968002,0.4738339888,0.4650361308,0.2955624978,0.3195169528,0.4568878578,0.4229207078,0.4300900691,0.3402457268,0.3258190453,0.2344779195,0.2560846153,0.1814547898,0.4812460223
10.5,1,1,1,1,1,0.4383959156,0.5629006024,0.6622502905,0.2820394184,0.4733778364,0.4643439492,0.2943993127,0.3219944297,0.4800545831,0.4451055527,0.4545046874,0.337871636,0.3281669848,0.2411360975,0.2650560047,0.1975178827,0.5196230305
11,1,1,1,1,1,0.437894114,0.5633352523,0.6623185286,0.2821225609,0.4702278772,0.4629283701,0.2967839843,0.323566231,0.5031420012,0.4611097891,0.4775365472,0.3406412998,0.3307185579,0.2484344404,0.2731468351,0.2134735672,0.5517633208
11.5,1,1,1,1,1,0.4384003325,0.5629040666,0.6616023988,0.2812637182,0.4704031347,0.462197044,0.2961889479,0.3273287965,0.5223945287,0.4764695775,0.4989338112,0.3409145576,0.3326684412,0.251483244,0.2827984667,0.228512784,0.5859568362
