time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,1,0.1311225623,0.1930844342,0.2404037212,0.02745553487,0.03555281261,0.005371940646,0.0003288510766,1.719282986e-05,7.220196036e-07,7.330612474e-07,7.821202886e-07,0.02653343339,0.001827082925,0.0001184556257,5.98328485e-06,5.909374973e-06,2.413395139e-07
1,1,1,1,1,1,0.2229718859,0.3210348584,0.3933669884,0.08142313362,0.1042391265,0.03019341818,0.003747078064,0.0004002430477,3.545679361e-05,3.517292496e-05,3.864798103e-05,0.07899665386,0.01077170037,0.001423660659,0.0001473267876,0.0001487312133,1.238349316e-05
1.5,1,1,1,1,1,0.2878211346,0.4064525015,0.4907623005,0.1391327914,0.1765067647,0.07174266758,0.01326881023,0.002162995182,0.0003040239371,0.0002936362609,0.0003324503672,0.1355196607,0.02693174405,0.005395645246,0.0008521213275,0.0008801800129,0.0001115417217
2,1,1,1,1,1,0.3339513215,0.4639199099,0.5531078139,0.1916762228,0.2410618712,0.1210064393,0.02923598566,0.006402871944,0.00126773165,0.001192972026,0.001395003742,0.1874273231,0.04791517876,0.0128104854,0.002723636347,0.002882029601,0.0004936080472
2.5,1,1,1,1,1,0.3672001088,0.5026926822,0.5930554824,0.2362820829,0.2947956148,0.1705868796,0.04997909593,0.01366067767,0.003572670239,0.003266424143,0.003929664164,0.2321672162,0.07103837251,0.02368871733,0.00631509232,0.006825582999,0.001480260534
3,1,1,1,1,1,0.3912652262,0.5291840458,0.6187007171,0.2728364072,0.3384501032,0.2164450896,0.07311703922,0.02376891752,0.007840859333,0.00695229209,0.008639925309,0.2692246125,0.09450142649,0.0375821252,0.01196406111,0.01322390382,0.003470458475
3.5,1,1,1,1,1,0.408821306,0.547223885,0.6353790781,0.3021214276,0.3725741849,0.2560551402,0.09671462475,0.03601869067,0.01453928675,0.01248828363,0.01600848867,0.2995413341,0.1167854298,0.05388100828,0.01979700632,0.02234639796,0.006887080386
4,1,1,1,1,1,0.421992996,0.5599200531,0.6462580293,0.3255998256,0.399047671,0.2895879845,0.1191792025,0.0495404531,0.02386128731,0.01982980327,0.02623945492,0.3239148558,0.1374642597,0.07190746596,0.02964670566,0.03429702165,0.01207145849
4.5,1,1,1,1,1,0.4315126472,0.5685222734,0.6534729963,0.3443260742,0.4198901692,0.317192483,0.1396572898,0.06356797979,0.03571249594,0.0287004296,0.03924558409,0.3434246722,0.1560905353,0.09093989518,0.04131395601,0.04881122656,0.01931461793
5,1,1,1,1,1,0.4390522813,0.5745916029,0.6580313462,0.3593584665,0.4358505708,0.3394417457,0.158100305,0.0773233876,0.04986954924,0.03874945135,0.05466783782,0.3590723261,0.1726150113,0.1104740858,0.05452258601,0.06582629113,0.02874182844
5.5,1,1,1,1,1,0.4444052296,0.5787269689,0.6611420826,0.37102375,0.4484164928,0.3569714716,0.1738389204,0.09033735185,0.06599564204,0.04952838249,0.07211914234,0.3717472269,0.1870357894,0.1299290714,0.06868625542,0.08473964266,0.04036414226
6,1,1,1,1,1,0.4483068922,0.5819236421,0.663220727,0.3801732249,0.458028745,0.3713498552,0.1873268025,0.1022791307,0.08364181431,0.06069491281,0.09115709861,0.3818646336,0.1995688423,0.148996025,0.08359981009,0.1052457469,0.05410606868
6.5,1,1,1,1,1,0.4514072004,0.5842278155,0.6644672824,0.3876821851,0.4656237735,0.3825653993,0.198734864,0.1131191981,0.1021824897,0.07183449293,0.1113819394,0.3900341974,0.2107036833,0.1674672986,0.09881846811,0.1270943102,0.06980879563
7,1,1,1,1,1,0.4539639696,0.5859514949,0.6654265992,0.3935544004,0.4714331349,0.3916257378,0.2081609177,0.1226445929,0.1214092308,0.08275110807,0.1322683113,0.3965971451,0.220088158,0.1849561948,0.1140867924,0.1497790887,0.08720107849
7.5,1,1,1,1,1,0.4559739276,0.5870676962,0.6662617213,0.3983041327,0.4759632913,0.3984034538,0.2161356645,0.1309389614,0.1409082368,0.09331729937,0.153735323,0.4019265276,0.2283467525,0.2011923396,0.1290464959,0.1729190018,0.1059541207
8,1,1,1,1,1,0.4576101345,0.5879275925,0.666451711,0.4021679657,0.4794391333,0.4037856036,0.2227509388,0.1381803798,0.1605045512,0.1032492282,0.1750990124,0.4063094386,0.2353996565,0.2164055694,0.1434614434,0.1962156574,0.1257842937
8.5,1,1,1,1,1,0.4588040737,0.5889389895,0.6667128723,0.4054263168,0.4824951255,0.4081056862,0.2281953468,0.1443848998,0.1797057639,0.1125372424,0.1961712522,0.4097768364,0.241424982,0.2302690671,0.1573875074,0.2194989758,0.1464170894
9,1,1,1,1,1,0.4598046073,0.5894841471,0.6667580851,0.4077526459,0.4847147034,0.4115825352,0.2325474138,0.1496686032,0.1985208115,0.1210359762,0.2169336109,0.4126950634,0.2466554428,0.2429283798,0.1703799551,0.2423644412,0.1673724428
9.5,1,1,1,1,1,0.4605176839,0.5898405407,0.6670804044,0.4097451502,0.4864939959,0.4142529338,0.2359483032,0.154249641,0.2167632241,0.1289085071,0.2371080641,0.4148972729,0.2509541126,0.2543492936,0.1826381774,0.264604689,0.1889480556
