time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,1,0.1319225141,0.2300068764,0.2284132269,0.02620270668,0.02279733409,0.004673213255,0.0004458857032,2.250327442e-05,1.869471118e-07,2.809865574e-08,6.651314511e-07,0.02706853629,0.000129505185,2.782569921e-06,2.231408305e-07,4.344140703e-09,1.288710889e-08
1,1,1,1,1,1,0.2343762996,0.3847618435,0.3744490984,0.07795102984,0.07129240897,0.02744420252,0.005288110286,0.0005554976744,9.635888106e-06,1.413718757e-06,3.435753822e-05,0.08588935087,0.000852297024,3.767422021e-05,5.973410804e-06,1.208651485e-07,7.091656239e-07
1.5,1,1,1,1,1,0.3095669365,0.4864288018,0.4673446763,0.1352821402,0.1263673771,0.06719722804,0.01942936189,0.00314613556,8.61654677e-05,1.237309247e-05,0.0003064440797,0.1567691136,0.002397120285,0.0001615610837,3.802834164e-05,7.987968681e-07,7.007792783e-06
2,1,1,1,1,1,0.3698745919,0.5544024664,0.5225763289,0.1853130393,0.1785145196,0.1159237648,0.04372479511,0.009751236103,0.0003733580867,5.243673747e-05,0.001343728407,0.2262459153,0.004738388756,0.0004347210443,0.0001365871069,2.943314668e-06,3.408357383e-05
2.5,1,1,1,1,1,0.412744157,0.5997755255,0.5577156233,0.2290687948,0.2241971343,0.1650073319,0.07659009371,0.02189679346,0.001104623154,0.0001520880765,0.003937208163,0.2921983405,0.007656414679,0.0009038416358,0.000351626916,7.784854675e-06,0.0001123332082
3,1,1,1,1,1,0.4448288704,0.6301900496,0.5786461978,0.265008494,0.2594446135,0.2112843588,0.1135549096,0.03932802996,0.002510150068,0.0003405652476,0.00896170513,0.3538680233,0.01132032835,0.001623575729,0.0007419382741,1.697581097e-05,0.0002907751406
3.5,1,1,1,1,1,0.4712589801,0.6530116589,0.5925410039,0.2917841735,0.2899455993,0.248696546,0.151013442,0.06088773405,0.00478000408,0.0006391817333,0.0172223092,0.4077821118,0.01533290976,0.002611374331,0.001374064246,3.235587383e-05,0.000637762883
4,1,1,1,1,1,0.4943617213,0.6666648401,0.6023462084,0.3130952604,0.3117341704,0.2805612446,0.1849549406,0.08518189148,0.008090789618,0.001049213413,0.02909777085,0.4559256823,0.01959169019,0.003972447362,0.002310933106,5.656752715e-05,0.001242170263
4.5,1,1,1,1,1,0.5106757859,0.6737701354,0.6097365212,0.3306254673,0.3316845932,0.3060030325,0.2140016807,0.1120450139,0.01262734329,0.001586407333,0.04465817947,0.4958883016,0.02379013372,0.00554878227,0.003596454498,9.15221085e-05,0.002231021542
5,1,1,1,1,1,0.5235354417,0.681206726,0.6140372406,0.3412034505,0.3460327518,0.3261051836,0.2419203003,0.1388398694,0.01829005393,0.002204397636,0.0636245779,0.5357977041,0.02808657065,0.007414437624,0.005267881727,0.0001394760578,0.003683768666
5.5,1,1,1,1,1,0.5304362645,0.6864200018,0.6134025055,0.3511910566,0.3569874551,0.3431243665,0.2632573682,0.1636157668,0.02493073338,0.002924968948,0.0861366266,0.5674724676,0.03271808197,0.009533804976,0.007370864922,0.000199361268,0.005804720287
6,1,1,1,1,1,0.5372301182,0.6880667034,0.6148622325,0.3572983246,0.3669484704,0.3568258918,0.2810501732,0.1869766407,0.0325920509,0.003725858671,0.1120586246,0.592880811,0.03758702687,0.0120033175,0.00983161588,0.0002757649591,0.008649040959
6.5,1,1,1,1,1,0.5432684735,0.6880843027,0.6169668396,0.361995306,0.375324435,0.3637191749,0.2975329321,0.2082087056,0.04079063559,0.004539122183,0.1387371263,0.6153456602,0.04181699663,0.01466575612,0.01277391586,0.0003729665443,0.01228244244
7,1,1,1,1,1,0.5428007093,0.6905681271,0.6194977135,0.3676149075,0.3815319314,0.3736747133,0.3107320957,0.2290090952,0.04952300609,0.005342544445,0.1665043785,0.6350901666,0.0463834535,0.01769774986,0.01607829617,0.0004866584671,0.01698795933
7.5,1,1,1,1,1,0.5467510214,0.6945429819,0.6189902712,0.3705352817,0.3841274257,0.3789100963,0.3219224007,0.2460216101,0.05907735974,0.006198728738,0.1951128507,0.6520306118,0.05071748548,0.02072443093,0.01981711353,0.0006229736705,0.02269062593
8,1,1,1,1,1,0.5474894903,0.6946538697,0.6183960042,0.3737847128,0.3895446911,0.3850216355,0.3292188069,0.2608733729,0.0689720262,0.007036103103,0.2248848386,0.6716038868,0.05459646082,0.02420183314,0.02390721944,0.000775604301,0.02948253894
8.5,1,1,1,1,1,0.5501337341,0.6962518993,0.6190608284,0.3776556912,0.3898592958,0.3885392011,0.3334370927,0.2752295071,0.07802037021,0.007912147162,0.2562416287,0.6865154351,0.05801112775,0.02747533283,0.02816850838,0.0009556896334,0.03774977742
9,1,1,1,1,1,0.5522093409,0.6972081804,0.6192012171,0.3773322865,0.389907908,0.39175768,0.340857372,0.2852994873,0.08812915831,0.008690042946,0.2850339693,0.6988970392,0.06277992041,0.03123775781,0.03298133095,0.001161863655,0.04722882689
9.5,1,1,1,1,1,0.5513429833,0.696972924,0.6200748353,0.3776246736,0.3893249831,0.3913811356,0.3439577697,0.2945087394,0.09815317839,0.009421830181,0.3137034477,0.7069063958,0.06575547186,0.03478800817,0.03798968443,0.001387980779,0.05817296476
10,1,1,1,1,1,0.5526224634,0.6944012322,0.6206018439,0.3741004338,0.3905065732,0.391384261,0.3453396133,0.3030133114,0.108519265,0.01009380671,0.3396781698,0.7140025359,0.06893895001,0.0389713327,0.04372564496,0.001616923958,0.06991231135
10.5,1,1,1,1,1,0.5529547394,0.695959602,0.6207560225,0.3748399619,0.3929539353,0.3909834934,0.347489888,0.3092420696,0.1187753277,0.01074652869,0.3676689556,0.7219248138,0.07180173311,0.04187874024,0.04890531898,0.001875607044,0.08359739268
11,1,1,1,1,1,0.5522964983,0.6944871428,0.6206872512,0.3754503612,0.3937166394,0.3935008772,0.3502235203,0.3146569089,0.1283404929,0.0112782081,0.3944971417,0.7282036897,0.07391992628,0.04511005778,0.05383629119,0.002156949065,0.09760250343
11.5,1,1,1,1,1,0.5509428055,0.6956976373,0.6203293397,0.3744686933,0.3945712017,0.3965031098,0.3527449426,0.3180119034,0.1380136264,0.01181835418,0.4198204031,0.7308421872,0.07606654739,0.04858390259,0.05908664964,0.002453651739,0.1127767974
12,1,1,1,1,1,0.5500438681,0.6952610702,0.6182121095,0.3775252767,0.3957483701,0.3942720386,0.3528026799,0.3238504465,0.1476003632,0.01234841619,0.4419755943,0.736266529,0.07857814054,0.05191585967,0.06398796737,0.002785813208,0.1279495203
12.5,1,1,1,1,1,0.5548050825,0.6944368067,0.618414949,0.3782269475,0.3930764897,0.3943146996,0.3535791857,0.3279297691,0.1556747509,0.01267672622,0.4686128636,0.7392078034,0.08019942314,0.05575624977,0.07022196081,0.003103078812,0.145802094
