time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0.05485000232,0.04199069233,0.03593369561,0.01447415043,0.0149494572,0.002864713467,0.0002986316354,2.107652485e-05,1.14104982e-06,9.606638641e-07,9.930404e-07,0.01526013251,0.001894752363,0.0001718764062,1.100279624e-05,1.265112888e-05,4.538182172e-07
1,0,0,0,0,0,0.09072338706,0.06747847107,0.05529069557,0.04041805205,0.04022974054,0.0150607466,0.00324822289,0.0004827819637,5.587659075e-05,4.599331057e-05,4.816204729e-05,0.04280218436,0.01037907443,0.001957588452,0.000258961463,0.0003064332372,2.272741002e-05
1.5,0,0,0,0,0,0.1148554114,0.084161251,0.06667395634,0.06567679638,0.0633786768,0.03338634185,0.01089807263,0.002548553123,0.0004736001011,0.0003811953799,0.0004044415077,0.06990021935,0.02421765282,0.006960765611,0.001415431734,0.001723908399,0.0001986826779
2,0,0,0,0,0,0.131723453,0.09574988209,0.07385646648,0.08711059681,0.081726533,0.05295566236,0.0226680856,0.007304284131,0.001941187008,0.001523490205,0.001650014926,0.09278761982,0.04036347502,0.01547615568,0.004255861758,0.005343961473,0.0008494771397
2.5,0,0,0,0,0,0.143645283,0.104326578,0.0791056862,0.1042857214,0.0957431322,0.07084933396,0.03664134946,0.01506852839,0.005309224148,0.004108162433,0.0045312358,0.1108782118,0.0565246064,0.02662490484,0.00923193332,0.01195196192,0.002444680619
3,0,0,0,0,0,0.1520792951,0.1107183084,0.08299585864,0.1178430797,0.1064551839,0.08609379194,0.05095326833,0.02528973801,0.01125644732,0.008603898022,0.00966654643,0.1249363989,0.07163923804,0.03932682437,0.01632723779,0.02174302949,0.005502508274
3.5,0,0,0,0,0,0.1586233989,0.115599458,0.08601784082,0.128422789,0.114650988,0.09866873576,0.06437387002,0.03715761863,0.0201115836,0.01509452992,0.01737906025,0.135712468,0.08478549772,0.05243785051,0.02520800203,0.0344248791,0.01042611954
4,0,0,0,0,0,0.1634532019,0.1193587587,0.08818859982,0.1366903042,0.1207764398,0.1089468479,0.07634180447,0.04960364606,0.03164472136,0.0235265328,0.02768575996,0.143850552,0.09644528166,0.06521817354,0.03530526191,0.04933009526,0.01737197464
4.5,0,0,0,0,0,0.1672319578,0.1223249034,0.08978525652,0.1432250216,0.1256443621,0.1171549234,0.08694737816,0.06187496644,0.04532427599,0.03345492826,0.04017191668,0.1500469041,0.1061855043,0.07721237628,0.04597003147,0.06591439242,0.02630148999
5,0,0,0,0,0,0.1700852546,0.1246507646,0.09099908711,0.1485749951,0.1295455555,0.1241304975,0.09568674593,0.0733435475,0.06061613659,0.04440656283,0.05454347207,0.1549608543,0.1144599597,0.08805245391,0.0569692571,0.08315206841,0.03699560472
5.5,0,0,0,0,0,0.1720433723,0.1263227497,0.09219162266,0.1526578504,0.1327351114,0.129523223,0.103184097,0.08397508515,0.07698619169,0.05586246764,0.0700205001,0.1588483699,0.1213512488,0.09762363271,0.06778662883,0.1004541566,0.04927502259
6,0,0,0,0,0,0.1736962171,0.1276902772,0.09276867826,0.1561869402,0.1351723537,0.1340140651,0.1095466279,0.09320392758,0.09357511316,0.06727698976,0.08627793256,0.1616003614,0.1271550632,0.1058588981,0.0781706865,0.1174231054,0.0626211861
6.5,0,0,0,0,0,0.1749525582,0.1287424355,0.0934072206,0.1591515622,0.1372493008,0.1378653911,0.1150896549,0.1011842759,0.1098302809,0.07834849667,0.1026267391,0.1638340158,0.1322320062,0.1128032434,0.08790072777,0.1332663901,0.07661599433
7,0,0,0,0,0,0.1760367491,0.1294334523,0.09382209212,0.1615091497,0.1389724041,0.1411478059,0.1198327284,0.1080143289,0.125336512,0.0889464836,0.1188088876,0.1653751844,0.1361180464,0.118694608,0.0967285075,0.1481538601,0.09085666834
7.5,0,0,0,0,0,0.1767646296,0.1300174662,0.09414083624,0.1635897959,0.140297134,0.1439724366,0.1238772468,0.1141790193,0.1402777395,0.0988588995,0.1344724157,0.1665750304,0.1397997623,0.1235264466,0.1048695532,0.1616451986,0.1053240636
8,0,0,0,0,0,0.1774221847,0.1304384057,0.09448843652,0.1653223606,0.1414014192,0.1460587292,0.1274631128,0.1190901192,0.154208084,0.1079761161,0.1495138301,0.1674591972,0.1431334746,0.1277118127,0.1122069947,0.1737631264,0.1192012139
8.5,0,0,0,0,0,0.1779805365,0.1308374478,0.09475739883,0.1667780617,0.1423048193,0.1481226801,0.13060211,0.1232755022,0.1669945375,0.1160472779,0.1634265785,0.1683258234,0.1456771565,0.1308996154,0.1188023648,0.1843110928,0.1326110859
9,0,0,0,0,0,0.1782260857,0.1311331438,0.09495054285,0.1678810516,0.143017277,0.1497470359,0.1335013507,0.1264299541,0.1786150703,0.1233954709,0.176343328,0.1688384696,0.1478829576,0.1336583024,0.1247793862,0.1935208983,0.1449734569
9.5,0,0,0,0,0,0.1784402978,0.1313112259,0.0950230884,0.1690879727,0.1434774324,0.1509335458,0.1359658992,0.1290005113,0.1890831677,0.1298996456,0.1883030227,0.1691571049,0.1497315868,0.1359418998,0.1300333173,0.2014347042,0.1567919891
10,0,0,0,0,0,0.17857536,0.1314081275,0.0950339417,0.1699709084,0.1437347984,0.1521008159,0.138318514,0.1310314969,0.1984613287,0.1355413544,0.1991260653,0.1696370795,0.1514618299,0.137671932,0.1349255603,0.2081269477,0.1676421445
