time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,1,0.1041687161,0.1730766174,0.250725025,0.05059308524,0.03474314818,0.005712797302,0.000113154121,3.797172198e-07,3.796712611e-09,1.250902648e-08,1.332044203e-08,0.03899528627,0.00215320863,0.0002652088173,9.217517561e-06,2.234490395e-05,5.703013875e-07
1,1,1,1,1,1,0.1824707787,0.287301406,0.3954008205,0.1440228248,0.1035722902,0.03350200163,0.001412105884,9.830323029e-06,2.035720892e-07,6.620486559e-07,7.163079809e-07,0.1138877678,0.0124544369,0.003156231324,0.0002203015927,0.0005592324063,2.858270628e-05
1.5,1,1,1,1,1,0.2427603322,0.3591933471,0.4831311157,0.2380739713,0.1785149273,0.08308511208,0.005546969635,5.928283436e-05,1.900588218e-06,6.171870475e-06,6.704220413e-06,0.1925047595,0.03061938693,0.0118662361,0.001262048522,0.003298497548,0.0002548227484
2,1,1,1,1,1,0.2877254665,0.4080048801,0.5293788161,0.3177478835,0.2461594348,0.1449964118,0.01355958558,0.0001995359735,8.754156797e-06,2.817729888e-05,3.104891711e-05,0.2606471687,0.05315485382,0.02752697572,0.003964070112,0.01078414686,0.001123553821
2.5,1,1,1,1,1,0.3202754174,0.4390448498,0.5574156274,0.3843939537,0.3000801197,0.2123170391,0.02585606521,0.0004910407315,2.807134115e-05,8.764253658e-05,9.804303761e-05,0.3184882029,0.07702039137,0.04988790506,0.009016655464,0.02528289763,0.003353884844
3,1,1,1,1,1,0.3452088528,0.4617439421,0.5733662659,0.435041354,0.3413536272,0.2773190167,0.04182134363,0.0009824687853,6.959165555e-05,0.0002139232463,0.0002427641593,0.3605596358,0.1001907846,0.07632721479,0.01679696176,0.04757062948,0.007793650285
3.5,1,1,1,1,1,0.3652218947,0.476898298,0.5831137479,0.4743249792,0.3729871782,0.3354190088,0.06152785542,0.001695104079,0.000144834803,0.0004415145071,0.0005074141701,0.3947671454,0.1215301061,0.1050237319,0.02677090007,0.07797140641,0.01512127166
4,1,1,1,1,1,0.380549368,0.4858133925,0.5895882796,0.5041019874,0.3983588757,0.3861673773,0.08250517135,0.002656922356,0.0002665409667,0.000811372816,0.0009444896148,0.4258314637,0.1393090626,0.1336832742,0.0391700667,0.1147446519,0.02640634053
4.5,1,1,1,1,1,0.3916662235,0.4913909886,0.592914642,0.5257179718,0.4152264114,0.4303620519,0.1057526481,0.003911061121,0.000450667821,0.001350332433,0.001592224658,0.4491723738,0.1555664061,0.1621020164,0.05221289,0.1582570762,0.04152660172
5,1,1,1,1,1,0.4008350707,0.4969967537,0.5942866533,0.5410708014,0.4308375768,0.4699777143,0.1294096093,0.005415985774,0.0007131447461,0.00210208615,0.002542741722,0.4642341062,0.1683177821,0.1865428851,0.06621947366,0.2038953821,0.06018096655
5.5,1,1,1,1,1,0.4071772223,0.5007058162,0.5941625152,0.5539682884,0.4424125819,0.502126301,0.1531098422,0.007135441349,0.001057587659,0.003080627113,0.003778526403,0.4811789216,0.1795957271,0.2104942172,0.08020941036,0.2517744394,0.08259711777
6,1,1,1,1,1,0.4123301232,0.4999302967,0.5961248215,0.5658426164,0.4505012563,0.5283047195,0.177502657,0.009050342065,0.001485345628,0.004289066439,0.005401250146,0.4912239465,0.1910144614,0.2312106748,0.09370209077,0.2995645523,0.107834489
6.5,1,1,1,1,1,0.4167503769,0.4990607938,0.5955703164,0.5743198126,0.4577637539,0.5493423112,0.2018365933,0.01119674934,0.002019838654,0.00575358085,0.007410916163,0.496238413,0.1973546484,0.250985378,0.1068250404,0.3498450436,0.1355356902
7,1,1,1,1,1,0.4179721126,0.5010390505,0.5964908176,0.5806198093,0.4637351685,0.5694036685,0.223608878,0.01338756334,0.002703749496,0.007473869413,0.009857096767,0.5016579067,0.2028310672,0.2675549157,0.1183926834,0.3955561894,0.1666609773
7.5,1,1,1,1,1,0.4191143802,0.5040300375,0.5969602135,0.5831072034,0.4658658178,0.5842604744,0.2445900495,0.01574024769,0.003492363954,0.009467536578,0.01270831089,0.5058886798,0.208085998,0.2815912165,0.1293486346,0.4378850646,0.1986301419
8,1,1,1,1,1,0.4201210772,0.5049339915,0.5956664395,0.5848264692,0.4681260274,0.592917359,0.2622250325,0.01824562872,0.004405604572,0.01170823721,0.01596876046,0.5080219489,0.210394318,0.2944521608,0.1398494838,0.4743769458,0.2315364138
8.5,1,1,1,1,1,0.4213545641,0.5054757743,0.595985928,0.5839550706,0.4705052031,0.6031622424,0.2824347389,0.02054702457,0.005408540433,0.01413552299,0.0196591276,0.5121020187,0.2129759249,0.3027595356,0.1495836324,0.5109244177,0.2645149474
9,1,1,1,1,1,0.4232085183,0.5050730957,0.5959550443,0.5848106093,0.4715115157,0.6080554705,0.3010206661,0.02311942945,0.006525869874,0.01669341973,0.02390592315,0.5125040199,0.215765213,0.308350301,0.1582324867,0.5443155024,0.2984485516
9.5,1,1,1,1,1,0.4258533627,0.5054546215,0.5947935888,0.5846378153,0.4705435562,0.6139885477,0.3189854571,0.02544929329,0.007718960443,0.01934789317,0.02859801395,0.5122481556,0.2171686737,0.3139101391,0.1633100979,0.5754679072,0.3336151006
10,1,1,1,1,1,0.4253791031,0.5065391572,0.5953608092,0.5854501431,0.4682273021,0.6183806282,0.3363624915,0.02795980802,0.009115835152,0.02231701983,0.03339984555,0.5131775681,0.2194838219,0.3185365805,0.1678298066,0.6046027019,0.3625213976
10.5,1,1,1,1,1,0.4242606206,0.5073549708,0.5947456483,0.5858519008,0.4704351718,0.6203582898,0.351947187,0.0307435191,0.01059014899,0.02548987716,0.03851278904,0.5135842821,0.2199278145,0.3240382922,0.1719291044,0.629444707,0.3921488424
