time,TNFR,IL1R,CD40,LTB,BAFFR,TRAF2_5,TRAF6,TRAF2_3,Btx,TAK1_TAB,NEMO_IKKa_IKKb,IkBa_release_signal,p50_p65,TNFa,p100,Phenotype_canonical,NIK,IKKa_noncanonical,p100_RelB,p52,BAFF,Phenotype_noncanonical
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,1,0.1361783179,0.1997786448,0.2366370685,0.02815293559,0.03568972709,0.005823622113,0.0003902298309,2.017685894e-05,9.646733322e-07,8.911434092e-07,8.938054822e-07,0.02618066194,0.002240931243,0.0001305673525,7.45578271e-06,6.861782603e-06,3.197511845e-07
1,1,1,1,1,1,0.2316319057,0.3315908645,0.3872130278,0.08306764207,0.1038194447,0.03247555773,0.004423031977,0.0004724739982,4.736526671e-05,4.294803055e-05,4.416132234e-05,0.0775162765,0.01311310142,0.001558942896,0.000181806806,0.0001724103885,1.625143843e-05
1.5,1,1,1,1,1,0.2992854293,0.4190542482,0.4835571125,0.1413309884,0.1745037229,0.07670587163,0.0156412209,0.002563262837,0.0004032379182,0.0003598366977,0.0003796678101,0.1319765603,0.03259477298,0.005865733792,0.001041502592,0.001019965676,0.0001453004291
2,1,1,1,1,1,0.3473707978,0.4777383387,0.5453711119,0.1942056222,0.2370635082,0.1289944872,0.03448992316,0.007633193147,0.001673728957,0.001466084123,0.001588571056,0.1815116287,0.05756952667,0.01386235095,0.003301938463,0.003348395322,0.000638314297
2.5,1,1,1,1,1,0.3820328368,0.5171212285,0.5850991765,0.2386650842,0.2894943509,0.1819117576,0.05911834069,0.01641307123,0.004670996037,0.004012928511,0.00447511251,0.223411206,0.0849078083,0.02552250595,0.007581543047,0.007958711925,0.00189642421
3,1,1,1,1,1,0.4070212244,0.54381013,0.6108870407,0.2748283135,0.3313289495,0.2309915372,0.08705172138,0.02878355102,0.01018634184,0.008542130975,0.009831716941,0.2578348895,0.1123067699,0.04035963864,0.01422298631,0.01549504644,0.004401569087
3.5,1,1,1,1,1,0.425350324,0.5617291609,0.6277461099,0.303983207,0.3643400769,0.2742972909,0.1159944672,0.04410201857,0.0187283635,0.01529013802,0.01821103496,0.2854399781,0.1383231015,0.05768908,0.02328860035,0.02628156856,0.008635993521
4,1,1,1,1,1,0.4387685524,0.5740785395,0.6386209133,0.3271915989,0.3901655316,0.3112256067,0.1443633979,0.06142850386,0.03042910304,0.02424070926,0.02989278079,0.3075527892,0.1620925077,0.07690632705,0.03457112595,0.04044294258,0.01499618428
4.5,1,1,1,1,1,0.4488278994,0.5827461532,0.6455947571,0.3454694947,0.4102816151,0.3421266858,0.170901906,0.07985633447,0.04526598152,0.03505580413,0.04480146759,0.3246687212,0.1834946796,0.09723428501,0.04780095562,0.05787555249,0.02373677632
5,1,1,1,1,1,0.4564357205,0.5888063711,0.650387682,0.3597175451,0.4258817128,0.3672975421,0.1952467874,0.09847293807,0.06280570192,0.04723170394,0.06264639967,0.3382627346,0.2024457993,0.117901075,0.06247093293,0.07814255914,0.03500122579
5.5,1,1,1,1,1,0.4620344074,0.5929293509,0.6535443359,0.3710717864,0.4380790101,0.3878641168,0.2168919692,0.1167282378,0.08269489114,0.06036121723,0.08291068692,0.349049972,0.2188276555,0.1385178663,0.07805804054,0.1008115493,0.04879491456
6,1,1,1,1,1,0.4662511525,0.5961053879,0.655468847,0.3798209851,0.4475320897,0.4046692748,0.2360464908,0.1342457963,0.1042551548,0.07388339123,0.1051340543,0.3575229955,0.2328856292,0.1586906565,0.09412615519,0.1254285089,0.0649333171
6.5,1,1,1,1,1,0.4696334816,0.5981068011,0.6569222165,0.3871321126,0.4548085235,0.4182170548,0.2528546115,0.1504795432,0.1271836357,0.0875065213,0.1288669963,0.3641499095,0.2451908567,0.1781703445,0.1102941588,0.1512282554,0.0832350002
7,1,1,1,1,1,0.4722279719,0.5998882514,0.657707837,0.3926656329,0.4607232982,0.4293703899,0.2675684282,0.1654958706,0.1508926802,0.1007363198,0.1535806069,0.3696430827,0.2557046055,0.1963336852,0.1261211741,0.1779152344,0.1034433563
7.5,1,1,1,1,1,0.4739601147,0.6010323277,0.6582535337,0.3970354663,0.4652315634,0.4380841686,0.2800290774,0.1791978573,0.1749735768,0.1133938899,0.1788007097,0.3740469891,0.2645106052,0.2132576828,0.1415905488,0.2051481489,0.1251308037
8,1,1,1,1,1,0.4754332543,0.6017426765,0.6585819189,0.4005193571,0.4688832803,0.4452055448,0.2908699329,0.1913738969,0.1989138949,0.1254811788,0.204144475,0.3774374629,0.2720825978,0.2288329409,0.1562407569,0.2321322878,0.1480049747
8.5,1,1,1,1,1,0.4766517815,0.6021130179,0.6588282031,0.4033871842,0.47162984,0.4509718054,0.3001561306,0.2026317157,0.2225454969,0.1368304815,0.2292366089,0.3800773966,0.2786510328,0.2432034266,0.1699461356,0.258747082,0.1718981529
9,1,1,1,1,1,0.4777133716,0.60241703,0.6592535998,0.4056207214,0.4739970181,0.4555818162,0.3081269521,0.2123766609,0.2457170534,0.1473711952,0.2538400333,0.3822248402,0.2840720945,0.2562433898,0.1827792241,0.2844279572,0.1963464434
9.5,1,1,1,1,1,0.4786228066,0.6028603068,0.6593812336,0.4075936919,0.4755820362,0.4593393597,0.3147098504,0.2211121476,0.2682583928,0.1569500104,0.2780888841,0.3842118414,0.288583051,0.2679258939,0.1949496156,0.3093794397,0.2212179567
10,1,1,1,1,1,0.4792649911,0.6031104555,0.6594038246,0.4093007667,0.4769752827,0.4627398363,0.3207661977,0.2286658563,0.289912154,0.1657607925,0.3013882409,0.3856856192,0.292688447,0.2782508176,0.2057227189,0.3334845741,0.2460718978
10.5,1,1,1,1,1,0.4797899939,0.6031535794,0.6595304432,0.4103307584,0.4781763988,0.4652529399,0.3258276378,0.2355391803,0.3106758668,0.1736965794,0.3238435815,0.3869544338,0.2960660723,0.287789323,0.2156475012,0.3563217352,0.2705216997
11,1,1,1,1,1,0.4800952138,0.6032266078,0.6596744196,0.4114881502,0.4791777673,0.4672520999,0.3301429843,0.2415854967,0.3301514993,0.1808058153,0.3454766259,0.3879479635,0.2990770277,0.2960748285,0.2247201345,0.3778758454,0.2947016481
11.5,1,1,1,1,1,0.4803579655,0.6030978535,0.6598058798,0.4124353108,0.4800366818,0.4690203173,0.3338578574,0.2468795941,0.3489219779,0.1874361012,0.3661473872,0.3886239463,0.3017363615,0.3038411065,0.232798964,0.398345064,0.3183731826
12,1,1,1,1,1,0.4806802555,0.6029855902,0.6598259166,0.4131389518,0.4805463453,0.4705606744,0.3369163442,0.2514019504,0.3664710059,0.1934838564,0.385535842,0.3893706205,0.3037676345,0.3103958056,0.2400548477,0.4176119597,0.3414504523
12.5,1,1,1,1,1,0.4809087236,0.6032376051,0.6597075545,0.4137162147,0.480952264,0.4715938309,0.3397079708,0.2553068508,0.3830728961,0.1987464527,0.4042468915,0.3900362377,0.305695361,0.3165765871,0.2468211471,0.4359686976,0.3636478969
13,1,1,1,1,1,0.481004542,0.6033121483,0.6597010887,0.4143087414,0.4813319549,0.4724561374,0.342033327,0.2588185888,0.3983713158,0.203464779,0.4220339381,0.3906400877,0.30750988,0.3217567934,0.252816453,0.4530826324,0.3849634524
13.5,1,1,1,1,1,0.481099494,0.6032435601,0.659679658,0.4148264238,0.4817091527,0.4730131557,0.3436893452,0.2618752015,0.4131290507,0.2078741166,0.4387597083,0.3911224244,0.3088949949,0.3262489327,0.2581337097,0.4690587776,0.4057404576
14,1,1,1,1,1,0.4813063661,0.6034012129,0.6597778441,0.4150185856,0.4822773582,0.4736211884,0.3453978519,0.2644623144,0.4268655181,0.2117293098,0.4544634056,0.3915976793,0.3103451499,0.3302843211,0.2628382769,0.4838338609,0.4256098179
14.5,1,1,1,1,1,0.4813838768,0.6035240599,0.6597544355,0.4152934631,0.4824672192,0.4742220887,0.3471136914,0.2667550685,0.439672531,0.215299956,0.4691620171,0.3919714669,0.3115869949,0.3337748547,0.2671583929,0.4978353017,0.4447408011
15,1,1,1,1,1,0.4816956004,0.6035613104,0.6597960907,0.4155757846,0.4828485782,0.4748151207,0.3483732076,0.2688541807,0.4516801775,0.2183965032,0.4830227349,0.392301735,0.3126339999,0.3372051331,0.2709681049,0.5105036518,0.4625924204
15.5,1,1,1,1,1,0.4817938562,0.6034934019,0.6599371476,0.4159157873,0.4829721396,0.4752516433,0.349674936,0.2705107394,0.4631954844,0.2211323619,0.496276314,0.3924209942,0.3134053696,0.3400420467,0.2743891469,0.5225261475,0.4797612545
16,1,1,1,1,1,0.4821335139,0.6036224134,0.6598463137,0.4161118061,0.4832312,0.4756151424,0.3505691204,0.2720738082,0.4736850511,0.2236892134,0.508727633,0.3928085527,0.3140882988,0.3426131119,0.2774447997,0.5337241566,0.4963751123
16.5,1,1,1,1,1,0.4819375672,0.6036046042,0.6597558763,0.4163337755,0.483173993,0.4758850084,0.3516743286,0.2733435055,0.483498288,0.2260239785,0.5205389265,0.3929283124,0.314789026,0.3450551758,0.2804075671,0.5439069513,0.5117918911
17,1,1,1,1,1,0.4817701038,0.6036304151,0.6597098396,0.4164562912,0.4831045288,0.4760919766,0.3523958871,0.2743650534,0.4929732951,0.2279354953,0.5314795412,0.3930871705,0.3153030394,0.3472205752,0.2827437115,0.553501647,0.5266880187
17.5,1,1,1,1,1,0.4817139425,0.6036920942,0.659665629,0.4167625477,0.4832436682,0.4761882647,0.3532504415,0.2754338464,0.5014352223,0.2296221355,0.5417469857,0.3932847218,0.3158861297,0.3492526401,0.2850089224,0.5625278544,0.5406507142
18,1,1,1,1,1,0.4817476701,0.6039993972,0.6599771211,0.4170030716,0.4834428595,0.4765860478,0.3539488395,0.2764972234,0.509381886,0.231386182,0.551547426,0.3936315835,0.3164451385,0.3507351281,0.2869964574,0.5709655908,0.5539596379
18.5,1,1,1,1,1,0.4819640225,0.6041434939,0.6601679974,0.4171159922,0.4835870509,0.4765951652,0.3542825803,0.2774017572,0.516838307,0.2329799863,0.5607904847,0.3936278358,0.3168665171,0.3521574896,0.288689159,0.5787198756,0.5668202029
19,1,1,1,1,1,0.4819077761,0.6039616089,0.6600734246,0.4170809353,0.4838030581,0.4767171392,0.3550652221,0.2781609083,0.5235821197,0.2342226812,0.5695353499,0.39362274,0.3169493061,0.3535222248,0.2901889439,0.5859758515,0.5787733992
19.5,1,1,1,1,1,0.4817624379,0.6038030517,0.6600173636,0.4170867863,0.4836907782,0.4769375733,0.3551331273,0.278711931,0.5300785946,0.235323254,0.5778667425,0.3936427731,0.3174820705,0.3547512971,0.2917133568,0.592667976,0.5900739282
20,1,1,1,1,1,0.4816792098,0.6037549006,0.6599440044,0.4172204764,0.4836038871,0.4767402043,0.3554059169,0.2793222982,0.5360953748,0.2363765771,0.5857650961,0.3937567553,0.3177111578,0.3557418567,0.2930777057,0.598903566,0.6009652879
20.5,1,1,1,1,1,0.4818136113,0.603812587,0.659744091,0.4173641159,0.483712599,0.4767644048,0.3558021594,0.2797039015,0.5417778913,0.2373228984,0.5931112549,0.3936960571,0.3180174635,0.3565428123,0.2942468902,0.6047821386,0.6110091002
21,1,1,1,1,1,0.4818810453,0.6039333624,0.6596793404,0.4175330532,0.4836528142,0.4769423322,0.3558948484,0.280059636,0.5469495494,0.2379821887,0.6001262294,0.3937076848,0.3180414372,0.3573201681,0.2952487682,0.6100390345,0.6206922336
21.5,1,1,1,1,1,0.4820574361,0.6041003152,0.6596569067,0.417529104,0.4837436161,0.4769804351,0.3562519902,0.2803352271,0.5518822166,0.2388068849,0.606843129,0.3937978383,0.31819863,0.3579432893,0.2961804586,0.6151679198,0.6298034203
22,1,1,1,1,1,0.4821281831,0.6040636766,0.6597810005,0.4174732806,0.4842150073,0.4771455726,0.3565588145,0.2807035127,0.5564814202,0.239383906,0.6129309079,0.3937292629,0.3184116127,0.3587589303,0.2968897809,0.6199083455,0.6385040894
22.5,1,1,1,1,1,0.482171392,0.6040374238,0.6596225216,0.417538549,0.4843221451,0.4772901231,0.3566479635,0.280873544,0.5610381364,0.2399323434,0.6189359605,0.3938319821,0.3185794109,0.3591843638,0.2976504396,0.6243929376,0.6465505549
23,1,1,1,1,1,0.4821610253,0.6039769873,0.6597217327,0.417648155,0.4841472766,0.4772038015,0.3566774436,0.2810309749,0.565017347,0.240536526,0.6244627448,0.3940160842,0.318614139,0.3595472289,0.2980466481,0.6285795526,0.6542889612
23.5,1,1,1,1,1,0.4820756197,0.6041357929,0.6598069767,0.4175170241,0.4841965719,0.4772804408,0.3569956258,0.2811906203,0.5688337665,0.2408817233,0.6297530452,0.3940525675,0.3188618277,0.3599038972,0.2985165066,0.6323870024,0.6615040827
24,1,1,1,1,1,0.4822129367,0.6040438668,0.6596458187,0.4174697096,0.4843416107,0.4771818442,0.3570957644,0.2815675636,0.5724488967,0.2414239326,0.6348952392,0.3939053353,0.3189569529,0.36022403,0.2988964572,0.6360490213,0.6685802725
24.5,1,1,1,1,1,0.4823113663,0.6039442687,0.6598029175,0.4175226939,0.4844583453,0.4771193104,0.3570931775,0.2817578003,0.5757654253,0.241764754,0.6396225921,0.3939976964,0.3190680317,0.3604939904,0.2994365762,0.6391597634,0.675071588
