input,time,model,node,mean,sd,cv
0.01,1.2,linear_mc,1,0.00695826300768,0.00279218452614,0.401276083278
0.01,1.2,moment_ode,1,0.00695444078348,0.00279563847716,0.401993282307
0.01,1.2,bounded_mc,2,0.00332613893381,0.00139499416623,0.419403456678
0.01,1.2,linear_mc,2,0.00333335592415,0.00140671916153,0.422012888374
0.01,1.2,moment_ode,2,0.00336170973947,0.00145122001496,0.4316910523
0.01,1.3,bounded_mc,1,0.00727797037383,0.00299138633632,0.411019306574
0.01,1.3,linear_mc,1,0.00727830100097,0.00301931767195,0.414838252987
0.01,1.3,moment_ode,1,0.00723750683968,0.00299979502443,0.414479059002
0.01,1.3,bounded_mc,2,0.00367142697694,0.00158889319476,0.432772653449
0.01,1.3,linear_mc,2,0.00368038708517,0.00160394409526,0.435808532676
0.01,1.3,moment_ode,2,0.00371752299817,0.00166480533093,0.447826504838
0.01,1.4,bounded_mc,1,0.00750667690166,0.00314696253807,0.419221791386
0.01,1.4,linear_mc,1,0.00750664203746,0.00317764464111,0.423311065753
0.01,1.4,moment_ode,1,0.00749337959836,0.00319231149829,0.426017587444
0.01,1.4,bounded_mc,2,0.0040080365837,0.00182470444486,0.455261424578
0.01,1.4,linear_mc,2,0.00401904633849,0.00184436405789,0.458905895218
0.01,1.4,moment_ode,2,0.00406507622225,0.00188254800546,0.463102756883
0.01,1.5,bounded_mc,1,0.00769482224848,0.00327964016143,0.426213894944
0.01,1.5,linear_mc,1,0.00769422345053,0.0033133801391,0.430632169757
0.01,1.5,moment_ode,1,0.00772467143715,0.00337331526871,0.436693689324
0.01,1.5,bounded_mc,2,0.00433900967737,0.00203176366138,0.468255157847
0.01,1.5,linear_mc,2,0.00435214584127,0.00205536120482,0.472263862421
0.01,1.5,moment_ode,2,0.00440269613648,0.00210268031775,0.47758924363
0.01,1.6,bounded_mc,1,0.00791819240995,0.00348226680574,0.439780523818
0.01,1.6,linear_mc,1,0.007918004977,0.00352401390064,0.445063360136
0.01,1.6,moment_ode,1,0.00793374377047,0.00354305404569,0.446580346958
0.01,1.6,bounded_mc,2,0.00467180435206,0.00226383669901,0.484574380348
0.01,1.6,linear_mc,2,0.00468742668627,0.00229283195151,0.489145133347
0.01,1.6,moment_ode,2,0.00472910495839,0.00232361766686,0.491344067705
0.01,1.7,bounded_mc,1,0.00813202657537,0.00374554326811,0.460591616787
0.01,1.7,linear_mc,1,0.0081328294268,0.00379848796309,0.467056145377
0.01,1.7,moment_ode,1,0.00812273115882,0.00370186369904,0.455741255824
0.01,1.7,bounded_mc,2,0.00498074504913,0.00243938114137,0.489762298072
0.01,1.7,linear_mc,2,0.0049986909721,0.00247265089669,0.494659684004
0.01,1.7,moment_ode,2,0.00504336006538,0.00254395432337,0.50441655769
0.01,1.8,bounded_mc,1,0.00833884178302,0.00384583295197,0.461195097838
0.01,1.8,linear_mc,1,0.00833954537499,0.00389956121307,0.467598776399
0.01,1.8,moment_ode,1,0.00829356310195,0.00385014314027,0.464232693831
0.01,1.8,bounded_mc,2,0.00529283975086,0.00268414121692,0.507126862565
0.01,1.8,linear_mc,2,0.00531375370825,0.00272546765442,0.512908163241
0.01,1.8,moment_ode,2,0.00534480158375,0.00276245618547,0.516849155612
0.01,1.9,bounded_mc,1,0.00848600144527,0.0039868060613,0.469809731593
0.01,1.9,linear_mc,1,0.00848671795851,0.00404469371345,0.476591037103
0.01,1.9,moment_ode,1,0.00844798373841,0.00398833463922,0.472104914346
0.01,1.9,bounded_mc,2,0.0055751336343,0.00290531957791,0.52112106516
0.01,1.9,linear_mc,2,0.00559891432065,0.00295470107068,0.527727502417
0.01,1.9,moment_ode,2,0.00563300693618,0.00297805154731,0.528678835488
0.01,2,bounded_mc,1,0.00865805041784,0.00411914756234,0.475759248739
0.01,2,linear_mc,1,0.00865897729798,0.00417686481685,0.482373919357
0.01,2,moment_ode,1,0.00858756965267,0.00411690837392,0.479403200257
0.01,2,bounded_mc,2,0.00585491278649,0.00311366032164,0.531803023407
0.01,2,linear_mc,2,0.0058816478802,0.00317017231518,0.538993897587
0.01,2,moment_ode,2,0.00590775149618,0.00318982062941,0.539938186546
0.01,2.1,bounded_mc,1,0.00877554021818,0.00419884362288,0.478471241483
0.01,2.1,linear_mc,1,0.00877608749259,0.00425695273252,0.485062704322
0.01,2.1,moment_ode,1,0.0087137459715,0.00423635030991,0.486168672322
0.01,2.1,bounded_mc,2,0.00610509975852,0.00328351848073,0.53783207656
0.01,2.1,linear_mc,2,0.00613447628972,0.00334616132704,0.545468132731
0.01,2.1,moment_ode,2,0.00616897459727,0.00339698442887,0.550656251748
0.01,2.2,bounded_mc,1,0.00890937086592,0.00427101324001,0.479384381264
0.01,2.2,linear_mc,1,0.00890973134742,0.00433291315804,0.486312436266
0.01,2.2,moment_ode,1,0.00882780091405,0.00434715271876,0.492438916677
0.01,2.2,bounded_mc,2,0.00633922998647,0.00341884504325,0.539315508436
0.01,2.2,linear_mc,2,0.00637097360535,0.00348388817768,0.546837641071
0.01,2.2,moment_ode,2,0.0064167502325,0.00359889330236,0.560859184471
0.01,2.3,bounded_mc,1,0.00903152075313,0.00439127441234,0.48621650023
0.01,2.3,linear_mc,1,0.00903207345826,0.00445549307087,0.493296815118
0.01,2.3,moment_ode,1,0.00893089894419,0.00444980680106,0.498248477433
0.01,2.3,bounded_mc,2,0.0065615190228,0.00366434046363,0.558459169424
0.01,2.3,linear_mc,2,0.0065966044292,0.00374395899221,0.567558511714
0.01,2.3,moment_ode,2,0.00665126185817,0.00379501558539,0.57057076782
0.01,2.4,bounded_mc,1,0.00911618893343,0.00451431807294,0.495197950142
0.01,2.4,linear_mc,1,0.00911702437795,0.00458433309345,0.502832163588
0.01,2.4,moment_ode,1,0.00902409265926,0.00454479699541,0.503629247506
0.01,2.4,bounded_mc,2,0.00681348758751,0.00390869567937,0.573670330968
0.01,2.4,linear_mc,2,0.00685251049849,0.00400325952107,0.584203340068
0.01,2.4,moment_ode,2,0.00687278078478,0.00398492646748,0.579812828644
0.01,2.5,bounded_mc,1,0.00922119082642,0.00469848624405,0.509531397028
0.01,2.5,linear_mc,1,0.00922313893855,0.00477726342598,0.517965028806
0.01,2.5,moment_ode,1,0.00910833353677,0.00463259664229,0.508610781938
0.01,2.5,bounded_mc,2,0.00701024836457,0.00396433574702,0.565505748278
0.01,2.5,linear_mc,2,0.00705108105658,0.00405709758367,0.575386603999
0.01,2.5,moment_ode,2,0.00708164769959,0.00416829727891,0.588605569739
0.01,2.6,bounded_mc,1,0.00929546964797,0.00481433843909,0.517923098177
0.01,2.6,linear_mc,1,0.00929789682065,0.00490805879252,0.527867633637
0.01,2.6,moment_ode,1,0.00918448164866,0.00471366473895,0.513220551716
0.01,2.6,bounded_mc,2,0.00722385922596,0.00412037252981,0.57038383514
0.01,2.6,linear_mc,2,0.00726779606773,0.00421501746672,0.579958136888
0.01,2.6,moment_ode,2,0.00727825691935,0.00434488529557,0.596967837728
0.01,2.7,bounded_mc,1,0.0093357590505,0.0047790860963,0.511911893875
0.01,2.7,linear_mc,1,0.0093369178904,0.00486686418109,0.521249542752
0.01,2.7,moment_ode,1,0.0092533144424,0.00478844357361,0.517484151589
0.01,2.7,bounded_mc,2,0.00743140425006,0.00433659930599,0.583550451579
0.01,2.7,linear_mc,2,0.00747915565203,0.00444605331092,0.594459256869
0.01,2.7,moment_ode,2,0.00746304302029,0.00451452413082,0.604917339822
0.01,2.8,bounded_mc,1,0.00937476814445,0.00469709415461,0.501035767737
0.01,2.8,linear_mc,1,0.00937415641507,0.00477153964867,0.509010031133
0.01,2.8,moment_ode,1,0.0093155346784,0.00485735706784,0.521425472132
0.01,2.8,bounded_mc,2,0.00760218970685,0.00451661218813,0.594119899963
0.01,2.8,linear_mc,2,0.00765324708986,0.00463836517078,0.606064996506
0.01,2.8,moment_ode,2,0.0076364695344,0.00467711475442,0.612470819578
0.01,2.9,bounded_mc,1,0.00943515713368,0.00470743846024,0.498925284819
0.01,2.9,linear_mc,1,0.00943396474219,0.00478249847542,0.506944705234
0.01,2.9,moment_ode,1,0.00937177760504,0.00492080968857,0.525066843874
0.01,2.9,bounded_mc,2,0.00776526752224,0.00466637558696,0.600929146819
0.01,2.9,linear_mc,2,0.00781920339766,0.00480482930276,0.614490896119
0.01,2.9,moment_ode,2,0.0077990194394,0.00483261715713,0.619644199464
0.01,3,bounded_mc,1,0.00952716506255,0.00482977027105,0.506947264936
0.01,3,linear_mc,1,0.00952679095718,0.00490823735314,0.515203637322
0.01,3,moment_ode,1,0.0094226174443,0.00497918581658,0.528429159522
0.01,3,bounded_mc,2,0.00792578606658,0.00481398421257,0.607382557658
0.01,3,linear_mc,2,0.00798254149142,0.00495767700414,0.621064984061
0.01,3,moment_ode,2,0.0079511872025,0.00498104266275,0.62645269642
0.01,3.1,bounded_mc,1,0.00960225646429,0.00492679990166,0.51308772266
0.01,3.1,linear_mc,1,0.0096024887585,0.00501142801337,0.521888454067
0.01,3.1,moment_ode,1,0.00946857325439,0.00503284947946,0.531531978921
0.01,3.1,bounded_mc,2,0.00807593173814,0.00490652157514,0.607548668591
0.01,3.1,linear_mc,2,0.00813485185909,0.00504850069096,0.620601429308
0.01,3.1,moment_ode,2,0.00809347216794,0.00512244687746,0.632910915262
0.01,3.2,bounded_mc,1,0.00968681957677,0.00499248186606,0.515389166329
0.01,3.2,linear_mc,1,0.00968736248416,0.00507503243342,0.523881752306
0.01,3.2,moment_ode,1,0.00951011422918,0.00508214437323,0.534393620387
0.01,3.2,bounded_mc,2,0.00823569024988,0.00511144331687,0.620645405762
0.01,3.2,linear_mc,2,0.00829859810258,0.00526323538469,0.634231869002
0.01,3.2,moment_ode,2,0.00822637310391,0.00525692325746,0.639032923873
0.01,3.3,bounded_mc,1,0.00974367014088,0.00506724187184,0.520054743087
0.01,3.3,linear_mc,1,0.00974469693274,0.00515972668704,0.529490729435
0.01,3.3,moment_ode,1,0.00954766448851,0.00512739411088,0.537031241205
0.01,3.3,bounded_mc,2,0.00837158766174,0.00521874520612,0.623387751163
0.01,3.3,linear_mc,2,0.00843712753417,0.00537684830471,0.637284227711
0.01,3.3,moment_ode,2,0.00835038374775,0.0053845972695,0.644832313359
0.01,3.4,bounded_mc,1,0.00975875634761,0.00498158580715,0.51047342814
0.01,3.4,linear_mc,1,0.00975827957167,0.00506390048047,0.518933736554
0.01,3.4,moment_ode,1,0.00958160740831,0.00516890264693,0.539460909497
0.01,3.4,bounded_mc,2,0.00845557006903,0.00526869624912,0.623103611714
0.01,3.4,linear_mc,2,0.00852248149998,0.00543200000073,0.637373046893
0.01,3.4,moment_ode,2,0.00846598920821,0.00550562111457,0.650322245773
0.01,3.5,bounded_mc,1,0.00980565972454,0.00510433713192,0.520550098138
0.01,3.5,linear_mc,1,0.00980611528742,0.00519643629608,0.529917928126
0.01,3.5,moment_ode,1,0.00961228953476,0.00520695483628,0.541697669161
0.01,3.5,bounded_mc,2,0.00852532003761,0.0053584071558,0.628528563404
0.01,3.5,linear_mc,2,0.00859395866316,0.00553556923248,0.644123325402
0.01,3.5,moment_ode,2,0.00857366310184,0.00562016898265,0.655515491558
0.01,3.6,bounded_mc,1,0.00978234170928,0.00511767655219,0.523154547682
0.01,3.6,linear_mc,1,0.00978225066359,0.00521613727572,0.53322465914
0.01,3.6,moment_ode,1,0.00964002412237,0.00524181709315,0.543755599219
0.01,3.6,bounded_mc,2,0.00867477271345,0.00545538447949,0.628879240955
0.01,3.6,linear_mc,2,0.00874643212022,0.00563986324661,0.644818729408
0.01,3.6,moment_ode,2,0.00867386531569,0.00572843280445,0.660424458528
0.01,3.7,bounded_mc,1,0.00980886341233,0.00513689831638,0.523699648006
0.01,3.7,linear_mc,1,0.00980858671552,0.00523550318978,0.533767334849
0.01,3.7,moment_ode,1,0.00966509433227,0.00527373812209,0.545647868586
0.01,3.7,bounded_mc,2,0.00875321454018,0.0055890224043,0.638510844062
0.01,3.7,linear_mc,2,0.00882761150753,0.00579504737555,0.656468329016
0.01,3.7,moment_ode,2,0.00876704030306,0.00583061846593,0.665061213862
0.01,3.8,bounded_mc,1,0.0097679436549,0.00524447959419,0.53690723242
0.01,3.8,linear_mc,1,0.00976821491779,0.00536109030694,0.548830093528
0.01,3.8,moment_ode,1,0.00968775612313,0.00530294969819,0.547386787073
0.01,3.8,bounded_mc,2,0.00887124443041,0.00578270463194,0.651848190782
0.01,3.8,linear_mc,2,0.00894968180555,0.00602504438684,0.673213251348
0.01,3.8,moment_ode,2,0.00885361583062,0.00592694245132,0.669437500418
0.01,3.9,bounded_mc,1,0.00974941032058,0.00524192201714,0.537665545379
0.01,3.9,linear_mc,1,0.00974921126209,0.00535906448433,0.549692107419
0.01,3.9,moment_ode,1,0.00970824086448,0.00532966747785,0.548983853228
0.01,3.9,bounded_mc,2,0.00896356607334,0.00578812089837,0.645738632483
0.01,3.9,linear_mc,2,0.00904347061519,0.00604402701425,0.66833047526
0.01,3.9,moment_ode,2,0.00893400210616,0.00601762888105,0.673564748423
0.01,4,bounded_mc,1,0.00970692022557,0.00514789595198,0.530332570202
0.01,4,linear_mc,1,0.00970488304871,0.00524413080769,0.540360020968
0.01,4,moment_ode,1,0.00972675769886,0.00535409182495,0.550449799483
0.01,4,bounded_mc,2,0.00896387354635,0.00581428773977,0.648635627188
0.01,4,linear_mc,2,0.00904419189661,0.00605655427225,0.669662291722
0.01,4,moment_ode,2,0.00900859122574,0.00610290691221,0.677454083472
0.01,4.1,bounded_mc,1,0.00964749075033,0.00517169369973,0.536066199344
0.01,4.1,linear_mc,1,0.00964501805412,0.00526853614214,0.546244300693
0.01,4.1,moment_ode,1,0.00974349567711,0.00537640864044,0.551794634965
0.01,4.1,bounded_mc,2,0.00900326127661,0.00582505791657,0.646994209943
0.01,4.1,linear_mc,2,0.00908381535201,0.00606406543696,0.667568108991
0.01,4.1,moment_ode,2,0.00907775688713,0.00618300847026,0.681116331616
0.01,4.2,bounded_mc,1,0.00966807949957,0.00518189678711,0.535979952103
0.01,4.2,linear_mc,1,0.00966564597852,0.00527532085688,0.545780475366
0.01,4.2,moment_ode,1,0.00975862568856,0.00539679018535,0.553027686232
0.01,4.2,bounded_mc,2,0.00900102086554,0.00575517660145,0.639391540963
0.01,4.2,linear_mc,2,0.00908017578607,0.00596593861911,0.657028978256
0.01,4.2,moment_ode,2,0.00914185432349,0.00625816628247,0.684562022214
0.01,4.3,bounded_mc,1,0.00966515517534,0.00515312207309,0.533164960066
0.01,4.3,linear_mc,1,0.0096621312984,0.00524865592391,0.543219271381
0.01,4.3,moment_ode,1,0.0097723022057,0.00541539588994,0.554157636138
0.01,4.3,bounded_mc,2,0.00910341479667,0.00583321257666,0.640771919873
0.01,4.3,linear_mc,2,0.00918458238046,0.00604678325868,0.65836235206
0.01,4.3,moment_ode,2,0.00920122041808,0.00632861218507,0.687801389111
0.01,4.4,bounded_mc,1,0.00967867872959,0.00520021599182,0.5372857326
0.01,4.4,linear_mc,1,0.0096762145689,0.00530411249393,0.548159867288
0.01,4.4,moment_ode,1,0.00978466486131,0.00543237314267,0.555192560978
0.01,4.4,bounded_mc,2,0.00914881940318,0.00591901580541,0.646970449909
0.01,4.4,linear_mc,2,0.00923160942403,0.00613656284531,0.664733803548
